unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"232043","4047740","328428","4376168","2472278","","","","","139260","29948","169208","35986","1035988","104857","1140845","602735","1446843","240415","1687258","699592","1851709","123504","1975213","766074","849936","74369","924305","487327","1303464","1771061","3074525","6291","0","6291","720275","-19720","700555","11401506","2652862","14054368","1478921","65932","1544853","","","","","","","12880427","2718794","15599221","5063992","1140959","","","6204951","479715","","","","","","",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232052","879991","678828","1558819","1004422","","","","","","","","","261164","8514","269678","159366","214125","11213","225338","146966","593965","2435","596400","373477","214406","0","214406","87332","2706","388653","391359","","","","","","","2166357","1089643","3256000","117674","0","117674","","","","","","","2284031","1089643","3373674","1771563","376119","","","2147682","71114","","","","","","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232089","3548401","340487","3888888","2939913","","","","","","","","","627166","21144","648310","351740","2272547","48903","2321450","1144669","2412651","26486","2439137","1211317","983624","13198","996822","361420","1303886","2771878","4075764","36810","0","36810","595806","0","595806","11780891","3222096","15002987","3815424","59601","3875025","","","","","","","15596315","3281697","18878012","6009059","1232445","","","7241504","389911","70554","","","","","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,31,31,31,31,31
"232186","56016883","4681285","60698168","47103550","1726907","11703579","13430486","7959620","298146","1788342","2086488","978950","13000078","109996","13110074","6929503","4789317","12076","4801393","3360039","18453450","12386","18465836","11548157","10087978","0","10087978","2928509","2781057","7446482","10227539","1068240","10831","1079071","","","","108222056","25764977","133987033","35888402","39784","35928186","","","","","","","144110458","25804761","169915219","80808328","15030388","","","95838716","6132307","9218975","611164","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,10,31,31,31,31
"232195","2483902","236686","2720588","2020689","","","","","38919","86919","125838","24084","561534","0","561534","374531","400393","18963","419356","303183","1156711","0","1156711","545020","320206","0","320206","99809","3690","429159","432849","","","","","","","4965355","771727","5737082","22189","0","22189","","","","","","","4987544","771727","5759271","3367316","679464","","","4046780","138637","","","","","","",10,10,10,10,31,31,31,31,10,10,10,10,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232256","4806016","321664","5127680","3749273","0","50305","50305","16106","","","","","992310","77690","1070000","410251","2678122","46414","2724536","1186904","2528023","126627","2654650","1376812","1942077","15670","1957747","1035930","1802506","1370686","3173192","5278","0","5278","822499","-131287","691212","15576831","1877769","17454600","4475200","3956","4479156","","","","","","","20052031","1881725","21933756","7775276","1815172","","","9590448","640413","","","","","","",10,10,10,10,31,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232265","13139678","4314813","17454491","14117279","141506","5132700","5274206","2157292","455784","2322113","2777897","1270613","2550383","160912","2711295","1454414","3971041","314679","4285720","2206263","8774692","485987","9260679","3964293","9101560","0","9101560","2695248","1191052","3910282","5101334","2684742","0","2684742","","","","42010438","16641486","58651924","9374476","0","9374476","","","","","","","51384914","16641486","68026400","27865402","4237103","","","32102505","1449348","","650619","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,10,31,31,31,10,18,18,10,31,10,31,31,31,31,31,31,10,10,10,18,16,31,31,11,10,31,10,31,31,31,31
"232308","5502945","1037670","6540615","4009880","11078","67161","78239","","478640","0","478640","148915","859282","488245","1347527","695057","1639756","0","1639756","956394","2884025","107955","2991980","1548929","1487211","138664","1625875","1161999","2127954","2190189","4318143","","","","-207808","389651","181843","14783083","4419535","19202618","2963354","0","2963354","","","","","","","17746437","4419535","22165972","8521174","1988143","","","10509317","713552","","","","","","",10,10,10,10,10,10,10,31,10,31,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232362","473020","0","473020","71322","1783089","281063","2064152","1612963","","","","","541370","0","541370","285289","19149","0","19149","","714520","0","714520","359375","608343","0","608343","155165","0","237527","237527","","","","","","","4139491","518590","4658081","","","","","","","","","","4139491","518590","4658081","2484114","486831","","","2970945","33409","","","","","","",10,31,10,10,10,10,10,10,31,31,31,31,10,31,10,10,10,31,10,31,10,31,10,10,11,31,11,10,31,10,10,31,31,31,31,31,31,18,10,18,31,31,31,31,31,31,31,31,31,18,10,18,10,10,31,31,10,10,31,31,31,31,31,31
"232414","12426054","1025086","13451140","9786746","","","","","84342","0","84342","12457","2640006","0","2640006","1871541","1677873","187857","1865730","1347674","3795564","0","3795564","2006080","2196654","0","2196654","567487","35664","3554451","3590115","","","","30000","0","30000","22886157","4767394","27653551","76812","0","76812","","","","","","","22962969","4767394","27730363","15591985","3091656","","","18683641","884026","","","","","","",10,10,10,10,31,31,31,31,10,31,10,10,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,31,31,31,10,31,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
