unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,part,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"157100","1027705","32159","1059864","916140","0","0","0","0","0","0","0","0","162972","26804","189776","125605","227950","40305","268255","127850","1342155","44711","1386866","630784","383937","109256","493193","241672","326362","516524","842886","7065","0","7065","-1088645","-49760","-1138405","2389501","719999","3109500","881273","53898","935171","0","0","0","0","0","0","3270774","773897","4044671","2042051","0","0","0","2042051","101291","0","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,31,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10
"157128","910131","35048","945179","775149","0","0","0","0","0","0","0","0","201796","0","201796","116298","424139","0","424139","269465","1077392","0","1077392","471430","277329","0","277329","120370","453507","1523850","1977357","0","0","0","93876","0","93876","3438170","1558898","4997068","342373","0","342373","0","0","0","0","0","0","3780543","1558898","5339441","1752712","238210","0","0","1990922","131727","0","0","0","0","0","0","B",10,10,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,10,10,31,31,31,10,31,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,18,10,31,31,31,31,31,31
"157207","750162","66986","817148","653840","0","0","0","0","0","0","0","0","245946","35793","281739","152624","150432","0","150432","87719","636432","0","636432","260741","294895","17301","312196","57353","36647","388959","425606","100000","0","100000","-654924","0","-654924","1559590","509039","2068629","255732","0","255732","0","0","0","0","0","0","1815322","509039","2324361","1212277","307856","0","0","1520133","235883","0","0","0","0","0","0","B",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,21,31,31,31,31,31,31
"157216","1781656","37365","1819021","1375246","0","0","0","0","0","0","0","0","426126","11634","437760","239393","1112807","69158","1181965","579918","1482195","163549","1645744","598314","573268","0","573268","264340","2614332","2475079","5089411","54325","0","54325","442500","-24986","417514","8487209","2731799","11219008","1353840","0","1353840","0","0","0","0","0","0","9841049","2731799","12572848","3057211","632691","0","0","3689902","278439","0","0","0","0","0","0","B",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,11,10,10,31,31,10,10,31,31,31,31,31,31
"157270","886815","0","886815","682677","0","0","0","0","0","0","0","0","248640","0","248640","227835","24212","0","24212","20472","1231974","0","1231974","201609","497458","0","497458","87","0","0","0","0","0","0","0","0","0","2889099","0","2889099","0","0","0","0","0","0","0","0","0","2889099","0","2889099","1132680","114303","0","0","1246983","3291","0","0","0","0","0","0","B",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,10,31,10,10,10,31,31,10,16,31,31,31,31,31,31
"157289","98144000","6829000","104973000","81681000","4142000","13124000","17266000","8247000","33351000","8571000","41922000","25257000","27867000","1411000","29278000","16323000","8668000","160000","8828000","4676000","20493000","12000","20505000","9367000","17053000","26000","17079000","6756000","7976000","7553000","15529000","15569000","0","15569000","2514000","6792000","9306000","235777000","44478000","280255000","3987000","14168000","18155000","18811000","0","18811000","0","0","0","258575000","58646000","317221000","152307000","29775000","0","0","182082000","8777000","0","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,31,10,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"157298","494855","454901","949756","660283","0","105555","105555","60909","29400","17841","47241","23520","555439","132395","687834","439473","219813","9577","229390","134600","1085910","5101","1091011","614843","326381","17449","343830","102556","215640","751637","967277","0","0","0","17684","0","17684","2945122","1494456","4439578","583376","19142","602518","0","0","0","0","0","0","3528498","1513598","5042096","2036184","513146","0","0","2549330","346732","0","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31
"157359","146715","0","146715","130898","0","0","0","0","0","0","0","0","84004","0","84004","59613","85139","0","85139","48945","210386","0","210386","83650","72056","0","72056","10615","0","88338","88338","0","0","0","-54840","4082","-50758","543460","92420","635880","59130","0","59130","0","0","0","0","0","0","602590","92420","695010","333721","50405","0","0","384126","35690","0","0","0","0","0","0","B",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,31,10,10,31,31,31,10,10,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"157377","2346496","61006","2407502","1821651","0","0","0","0","0","0","0","0","391460","0","391460","219154","884054","62997","947051","476212","1030983","0","1030983","579720","786079","0","786079","85708","1077259","1016561","2093820","105515","0","105515","-267411","11488","-255923","6354435","1152052","7506487","735396","0","735396","0","0","0","0","0","0","7089831","1152052","8241883","3182445","554271","0","0","3736716","186042","0","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"157386","22161085","1833986","23995071","17414948","55133","257190","312323","90866","826730","2002279","2829009","1433161","5116560","362214","5478774","2287013","4902945","710594","5613539","2521476","5798193","225329","6023522","3454576","4305538","1732","4307270","2229086","2752894","7760223","10513117","3956829","0","3956829","495059","0","495059","50370966","13153547","63524513","8183208","288339","8471547","0","0","0","0","0","0","58554174","13441886","71996060","29431126","7266942","0","0","36698068","1952547","2055659","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,31,31,31,31,31
