UNITID,XFA01_1,FA01_1,XFA02_1,FA02_1,XFA04_1,FA04_1,XFA05_1,FA05_1,XFA06_1,FA06_1,XFA07_1,FA07_1,XFA08_1,FA08_1,XFA910_1,FA910_1,XFA11_1,FA11_1,XFA12_1,FA12_1,XFA13_1,FA13_1,XFA14_16,FA14_16,XFA17_1,FA17_1,XFAA01,FAA01,XFAA02,FAA02,XFAA03,FAA03,XFAA04,FAA04,XFAA05,FAA05,XFAA06,FAA06,XFAA07,FAA07,XFAA08,FAA08,XFAA09,FAA09,XFB01_1,FB01_1,XFB02_1,FB02_1,XFB03_1,FB03_1,XFB04_1,FB04_1,XFB05_1,FB05_1,XFB06_1,FB06_1,XFB07_1,FB07_1,XFB08_1,FB08_1,XFB910_1,FB910_1,XFB11_1,FB11_1,XFB12_1,FB12_1,XFC01,FC01,XFC02,FC02,XFC03_08,FC03_08,XFC09,FC09,XFC10,FC10,XFC11,FC11,XFC12,FC12,XFD05,FD05,XFD08,FD08,XFD17,FD17,XFD20,FD20,XFD23,FD23,XFD24,FD24,XFDC01_1,FDC01_1,XFDC02_1,FDC02_1,XFDC03_1,FDC03_1,XFDC04_1,FDC04_1 
103440,"N",3074129,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",4578337,"N",631299,"N",0,"N",1184687,"N",261792,"N",9730244,"N",0,"N",0,"N",0,"N",0,"N",0,"N",1979585,"N",1979585,"N",0,"N",0,"N",1725741,"N",7621,"N",40964,"N",269792,"N",91899,"N",1474849,"N",970554,"N",2093790,"N",0,"N",659984,"N",7335194,"N",9730244,"N",-7335194,"N",0,"N",2395050,"N",18698927,"N",0,"N",21093977,"N",9527274,"N",24768293,"N",3674316,"N",12962323,"N",8131654,"N",21093977,"N",1288801,"N",12359256,"N",1646149,"N",0,
103778,"N",19540715,"N",0,"N",0,"N",0,"N",259569,"N",152253,"N",0,"N",518057,"N",363264,"N",0,"N",141372,"N",244820,"N",21220050,"N",468357,"N",259569,"N",152253,"N",0,"N",0,"N",289769,"N",1169948,"N",0,"N",0,"N",9935655,"N",972111,"N",0,"N",1578941,"N",842043,"N",3058778,"N",178948,"N",810528,"N",0,"N",1014571,"N",18391575,"N",21220050,"N",-18391575,"N",10438,"N",2838913,"N",8064803,"N",0,"N",10903716,"N",79663,"N",17815772,"N",7092056,"N",10102398,"N",621618,"N",10724016,"N",1262461,"N",6321609,"N",1884282,"N",0,
103787,"R",335938,"R",140220,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",776298,"R",26362,"Z",0,"R",229091,"R",5090,"R",1512999,"C",123132,"C",16427,"C",661,"C",0,"C",18555,"C",0,"C",158775,"Z",0,"Z",0,"R",360672,"C",0,"C",0,"R",55758,"R",192280,"R",285595,"R",235083,"R",201293,"C",0,"R",122234,"R",1452915,"R",1512999,"R",-1452915,"R",-50199,"R",9885,"R",1925053,"Z",0,"R",1934938,"R",246155,"R",2249261,"R",314323,"R",1606869,"R",328069,"R",1934938,"R",182510,"R",1954097,"R",516735,"Z",0,
104018,"N",935907,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",1498021,"N",73325,"N",0,"N",319662,"N",13868,"N",2840783,"N",157373,"N",35209,"N",56748,"N",0,"N",59071,"N",332623,"N",641024,"N",524643,"N",116390,"N",503283,"N",0,"N",0,"N",124239,"N",177368,"N",663246,"N",260682,"N",0,"N",0,"N",486386,"N",2215204,"N",2840783,"N",-2215204,"N",0,"N",625579,"N",3759412,"N",0,"N",4384991,"N",0,"N",5246735,"N",861743,"N",3527207,"N",857785,"N",4384992,"N",165500,"N",3746773,"N",1267062,"N",0,
104090,"R",992974,"Z",0,"Z",0,"Z",0,"R",562107,"Z",0,"Z",0,"Z",0,"R",13192,"Z",0,"Z",0,"R",14033,"R",1582306,"C",550037,"C",12070,"C",0,"C",0,"C",0,"C",0,"C",562107,"Z",0,"Z",0,"R",824229,"C",0,"C",0,"R",45348,"R",95143,"R",388698,"C",0,"C",0,"C",0,"R",198788,"R",1552206,"R",1582306,"R",-1552206,"R",1495,"R",31595,"Z",0,"Z",0,"C",31595,"Z",0,"R",3856982,"R",2671298,"R",1185684,"Z",0,"R",1185684,"Z",0,"Z",0,"R",1314836,"Z",0,
104717,"R",15962549,"Z",0,"Z",0,"Z",0,"R",1436613,"R",29592,"Z",0,"R",3127858,"R",620442,"Z",0,"R",2025825,"R",329296,"R",23532175,"C",951898,"C",397807,"C",29592,"C",0,"C",0,"C",0,"C",1379297,"R",1379297,"R",0,"R",8010519,"R",50091,"Z",0,"R",979118,"R",1555122,"R",4378998,"R",4223187,"R",4639961,"Z",0,"R",0,"R",23836996,"R",23532175,"R",-23836996,"R",7828728,"R",7523907,"R",1788666,"R",-2435334,"R",6877239,"R",6814548,"R",29481528,"R",22604289,"R",869454,"R",6007785,"R",6877239,"R",1951480,"R",14250593,"R",6524955,"Z",0,
105367,"R",6253084,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",122167,"R",17059,"R",6392310,"C",355177,"C",0,"C",0,"C",0,"C",0,"C",0,"C",355177,"Z",0,"Z",0,"R",2159059,"Z",0,"Z",0,"R",301483,"R",431718,"R",2011359,"R",51479,"Z",0,"Z",0,"Z",0,"R",4955098,"R",6392310,"R",-4955098,"R",34317,"R",1471529,"R",2618401,"R",-3028,"R",4086902,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"C",.,"Z",0,"Z",0,"Z",0,"Z",0,
105589,"R",7158487,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",191875,"R",52711,"Z",0,"R",197463,"R",10576,"R",7611112,"C",475113,"C",78383,"C",0,"C",0,"C",320141,"C",0,"C",873637,"Z",0,"Z",0,"R",3599420,"Z",0,"R",182329,"R",1300438,"R",794704,"R",1078049,"R",112147,"Z",0,"Z",0,"R",0,"R",7067087,"R",7611112,"R",-7067087,"Z",0,"R",544025,"R",932119,"Z",0,"R",1476144,"Z",0,"R",3325851,"R",1849707,"R",1302498,"R",173646,"R",1476144,"R",1012202,"R",1390105,"R",834386,"R",83245,
105899,"R",1274180,"Z",0,"Z",0,"Z",0,"R",150346,"Z",0,"Z",0,"R",551984,"R",15422,"Z",0,"R",373492,"R",6553,"R",2371977,"C",126611,"C",23735,"C",0,"C",0,"C",238683,"C",0,"C",389029,"Z",0,"Z",0,"R",409252,"C",0,"C",0,"R",69822,"R",191756,"R",337533,"R",244318,"R",377807,"C",0,"R",535523,"R",2166011,"R",2371977,"R",-2166011,"Z",0,"R",205966,"R",2723923,"Z",0,"R",2929889,"R",267839,"R",5442452,"R",2512563,"R",2463461,"R",466428,"R",2929889,"R",2340000,"R",1910965,"R",477957,"Z",0,
106102,"R",5787000,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5787000,"C",188816,"C",0,"C",0,"C",0,"C",0,"C",0,"C",188816,"R",188816,"R",0,"R",4609000,"Z",0,"Z",0,"Z",0,"R",542000,"R",619000,"Z",0,"Z",0,"Z",0,"Z",0,"R",5770000,"R",5787000,"R",-5770000,"C",10000,"R",27000,"R",6050000,"R",934000,"R",7011000,"Z",0,"R",6994000,"R",2472000,"Z",0,"R",4522000,"R",4522000,"Z",0,"Z",0,"R",465000,"R",2459000,
