unitid,part,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,filler1,b101,b102,b103,filler2,b111,b112,b113,filler3,b121,b122,b123,b124,b131,b132,b133,b134,b161,b162,b163,b164,b191,b192,b193,b194,b221,b222,b223,b224,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,filler4,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093",filler5,"xb101","xb102","xb103",filler6,"xb111","xb112","xb113",filler7,"xb121","xb122","xb123","xb124","xb131","xb132","xb133","xb134","xb161","xb162","xb163","xb164","xb191","xb192","xb193","xb194","xb221","xb222","xb223","xb224","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"155812","B","2053018","49102","2102120","1800028","0","0","0","0","232248","35977","268225","159697","293704","0","293704","151734","807819","0","807819","584889","2234883","248511","2483394","697865","588640","0","588640","304579","544614","611331","1155945","","41979","0","41979","","0","529073","529073","","6796905","1473994","8270899","3698792","1133688","15204","1148892","276139","0","0","0","0","0","0","0","0","7930593","1489198","9419791","3974931","3698792","634139","0","0","4332931","175970","0","0","0","0","0","0","",10,10,18,10,31,31,31,31,10,10,10,10,10,31,10,10,10,31,10,10,10,10,18,10,10,31,10,10,10,10,10,"",10,31,10,"",31,10,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,18,18,18,18,10,10,31,31,10,10,31,31,31,31,31,31
"155858","B","2692986","386991","3079977","1918103","0","0","0","0","0","371","371","0","438643","50605","489248","288247","438685","52609","491294","353326","654190","209373","863563","158834","1157680","102675","1260355","282321","118045","523466","641511","","0","0","0","","862889","0","862889","","6363118","1326090","7689208","3000831","1374424","11300","1385724","262616","0","0","0","0","0","0","0","0","7737542","1337390","9074932","3263447","3000831","538011","0","0","3538842","45370","44479","0","0","0","0","0","",10,10,10,10,31,31,31,31,31,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,15,"",31,31,31,"",10,31,10,"",18,10,18,10,10,10,10,10,31,31,31,31,31,31,31,31,18,10,18,10,10,10,31,31,10,10,10,31,31,31,31,31
"155900","B","3040752","0","3040752","2247241","0","0","0","0","0","0","0","0","203893","0","203893","90265","974437","0","974437","746171","1587432","0","1587432","728565","565824","0","565824","257052","1224685","844429","2069114","","0","0","0","","0","0","0","","7597023","844429","8441452","4069294","1481445","0","1481445","530307","0","0","0","0","0","0","0","0","9078468","844429","9922897","4599601","4069294","678216","0","0","4747510","203893","0","0","0","0","0","0","",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,10,10,"",31,31,31,"",31,31,31,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,18,10,11,10,31,31,11,10,31,31,31,31,31,31
"155937","B","2638165","5669","2643834","1320870","0","0","0","0","0","0","0","0","224606","63840","288446","73114","987430","93312","1080742","313081","1223213","16049","1239262","430268","527753","21407","549160","189174","1343890","563712","1907602","","0","0","0","","0","0","0","","6945057","763989","7709046","2326507","1250749","0","1250749","101645","0","0","0","0","0","0","0","0","8195806","763989","8959795","2428152","2326507","697952","0","0","3024459","51255","82237","0","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,10,10,10,10,10,10,10,10,"",10,10,10,"",10,10,10,"",18,10,18,10,10,10,10,10,10,10,10,10,10,10,10,10,18,10,18,10,10,10,10,10,10,16,10,10,10,10,10,10
"155973","B","1380342","25344","1405686","884271","0","0","0","0","0","0","0","0","160895","39938","200833","57276","1016678","113794","1130472","412935","1037645","156440","1194085","499960","381187","14974","396161","159928","1564954","453954","2018908","","7732","0","7732","","4746","403012","407758","","5554179","1207456","6761635","2014370","914432","32268","946700","31283","0","0","0","0","0","0","0","0","6468611","1239724","7708335","2045653","2014370","565409","0","0","2579779","102569","63200","26248","0","0","0","0","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,"",10,31,10,"",10,10,10,"",10,18,18,10,10,10,10,10,31,31,31,31,31,31,31,31,10,18,18,10,10,10,31,31,10,10,10,10,31,31,31,31
"156055","B","8764562","0","8764562","5568283","26815000","0","26815000","13984000","0","0","0","0","16047000","0","16047000","4682000","0","0","0","0","11773000","0","11773000","5752000","30785000","0","30785000","12670000","0","0","0","","0","0","0","","0","0","0","","94184562","0","94184562","42656283","0","0","0","0","0","0","0","0","0","0","0","0","94184562","0","94184562","42656283","42656283","3007900","0","0","45664183","1170824","0","0","0","0","0","0","",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,"",21,21,21,"",21,21,21,"",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"156082","B","16336635","209473","16546108","12971371","109712","0","109712","10573","2187390","947529","3134919","1555116","5201732","424019","5625751","2984651","3049997","145626","3195623","1898471","4071683","515090","4586773","2473573","3059500","6312","3065812","1274839","428182","3591743","4019925","","0","352253","352253","","0","0","0","","34444831","6192045","40636876","23168594","3887100","4288","3891388","834827","0","0","0","0","0","0","0","0","38331931","6196333","44528264","24003421","23168594","5378355","0","0","28546949","2683641","0","0","0","0","0","0","",10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",31,11,10,"",31,31,31,"",11,11,10,10,10,10,10,10,31,31,31,31,31,31,31,31,11,11,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"156125","B","42852929","101135","42954064","32879793","2247164","5215156","7462320","3253454","1495675","4991753","6487428","3166999","12610910","82009","12692919","6890785","8686962","132950","8819912","5292727","7905134","51384","7956518","5158404","14535344","247","14535591","5827213","1766660","6153265","7919925","","74788","1300427","1375215","","0","0","0","","92175566","18028326","110203892","62469375","10834099","43332","10877431","4172896","0","0","0","0","0","0","0","0","103009665","18071658","121081323","66642271","62469375","12368887","0","0","74838262","4045109","145141","0","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,10,10,"",10,10,10,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"156189","B","1008222","265955","1274177","823736","0","0","0","0","0","0","0","0","306953","48576","355529","184027","590244","158833","749077","331903","1002218","117220","1119438","453945","463973","144282","608255","147733","1912878","656425","2569303","","51937","0","51937","","711210","0","711210","","6047635","1391291","7438926","1941344","869626","0","869626","12135","0","0","0","0","491296","53620","544916","344894","7408557","1444911","8853468","2298373","1941344","454025","0","0","2395369","178661","0","0","0","0","0","0","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,31,10,"",10,31,10,"",10,10,10,10,10,31,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,31,31,31,31,31
"156213","B","4927858","89798","5017656","3287726","0","0","0","0","186904","1977","188881","56705","691557","6378","697935","387856","1640212","24135","1664347","891558","2125129","16412","2141541","1307277","1520759","12717","1533476","774220","977960","1509163","2487123","","22971","0","22971","","1254274","0","1254274","","13347624","1660580","15008204","6705342","2707437","29913","2737350","300174","0","0","0","0","0","0","0","0","16055061","1690493","17745554","7005516","6705342","1558208","0","0","8263550","434718","0","0","0","0","0","0","",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,31,10,"",10,31,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
