unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03
"143215","6944732","","6944732","291934","","291934","9064764","","9064764","3760570","488353","4248923","","4203611","4203611","","1145775","1145775","","579711","579711","","326364","326364","","","","23638","","23638","2516762","","2516762","","","","756018","585493","1341511","","","","23358418","7329307","30687725","A",""
"143233","205117","0","205117","0","0","0","0","0","0","0","0","0","0","19801","19801","0","0","0","0","0","0","1020561","88157","1108718","17171","147651","164822","0","0","0","206354","0","206354","0","0","0","222800","10550","233350","0","0","0","1672003","266159","1938162","A","0"
"143260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"143279","6417452","","6417452","","","","7300304","","7300304","2514721","","2514721","9118","3336788","3345906","","2541794","2541794","0","1092910","1092910","101613","411125","512738","0","0","0","741303","14865","756168","2132792","","2132792","0","0","0","170059","4287","174346","0","0","0","19387362","7401769","26789131","A","0"
"143288","2941666","0","2941666","0","0","0","0","0","0","0","0","0","0","405716","405716","99677","79567","179244","0","0","0","486350","166134","652484","233765","161661","395426","0","0","0","691348","0","691348","0","0","0","45212","0","45212","0","0","0","4498018","813078","5311096","A","0"
"143297","163311","0","163311","","","","","","","","","","","","","19464","0","19464","","","","0","171443","171443","","","","","","","","","","","","","461404","0","461404","","","","644179","171443","815622","A",""
"143358","46138047","36999","46175046","0","0","0","997580","0","997580","0","0","0","233298","3021455","3254753","153771","2150129","2303900","0","0","0","1748017","1711304","3459321","790691","653737","1444428","239013","0","239013","11970747","0","11970747","0","0","0","350569","0","350569","0","0","0","62621733","7573624","70195357","A",""
"143613","1395850","0","1395850","0","0","0","1937163","258","1937421","1925737","343943","2269680","0","1947245","1947245","0","965380","965380","0","0","0","0","132655","132655","0","0","0","0","0","0","688763","0","688763","0","0","0","121562","384886","506448","0","0","0","6069075","3774367","9843442","A","0"
"143659","1634966","64181","1699147","","","","","","","","","","","","","","","","","","","140933","107842","248775","","","","","","","626595","6925","633520","","","","556821","10364","567185","","","","2959315","189312","3148627","A",""
"143853","6669407","0","6669407","","","","","","","","","","0","819877","819877","1378226","107253","1485479","","","","50000","1109220","1159220","0","54307","54307","685081","0","685081","722082","0","722082","0","0","0","4307316","0","4307316","0","0","0","13812112","2090657","15902769","A",""
"143978","1194499","0","1194499","6010","0","6010","","","","","","","","","","","","","","","","45280","229386","274666","","","","52094","0","52094","","","","","","","10929","0","10929","76412","0","76412","1385224","229386","1614610","A",""
"144005","10235444","0","10235444","0","0","0","27370692","0","27370692","0","0","0","0","7269156","7269156","0","854382","854382","0","112077","112077","282297","36382","318679","0","0","0","0","0","0","894231","0","894231","0","","","733180","0","733180","0","0","0","39515844","8271997","47787841","A","0"
"144014","497854","0","497854","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","493096","219051","712147","188439","233540","421979","0","0","0","347461","0","347461","0","0","0","149157","10941","160098","","","","1676007","463532","2139539","A","0"
"144050","155255000","0","155255000","","","","","","","","","","35724000","83780000","119504000","242000","8586000","8828000","","","","10891000","60762000","71653000","8812000","36790000","45602000","96036000","0","96036000","105271000","0","105271000","","","","25501000","4932000","30433000","0","420939000","420939000","437732000","615789000","1053521000","A",""
"144148","2964675","0","2964675","0","0","0","7187964","0","7187964","9054370","0","9054370","0","3032745","3032745","0","2047304","2047304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775939","117139","1893078","0","0","0","20982948","5197188","26180136","A","0"
"144157","3384555","0","3384555","0","0","0","8205978","0","8205978","10336719","0","10336719","0","3462264","3462264","0","2337259","2337259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2027461","133729","2161190","0","0","0","23954713","5933252","29887965","A","0"
"144166","4106006","0","4106006","0","0","0","9955162","0","9955162","12540091","0","12540091","0","4200279","4200279","0","2835469","2835469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2459634","162234","2621868","0","0","0","29060893","7197982","36258875","A","0"
"144175","2765174","","2765174","0","0","0","6704268","0","6704268","8445078","0","8445078","0","2828663","2828663","0","1909536","1909536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1656432","109256","1765688","0","0","0","19570952","4847455","24418407","A","0"
"144184","4395978","","4395978","","","","10658211","","10658211","13425690","","13425690","","4496909","4496909","","3035714","3035714","","","","","","","","","","","","","","","","","","","2633337","173691","2807028","","","","31113216","7706314","38819530","A",""
"144193","2173631","0","2173631","0","0","0","5270049","0","5270049","6638455","0","6638455","","2223538","2223538","0","1501036","1501036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1302078","85883","1387961","0","0","0","15384213","3810457","19194670","A","0"
"144209","1549611","0","1549611","0","0","0","3757090","0","3757090","4732644","","4732644","0","1585190","1585190","0","1070109","1070109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","928269","61227","989496","0","0","0","10967614","2716526","13684140","A","0"
"144218","1858142","","1858142","","","","4505133","","4505133","5674922","","5674922","","1900804","1900804","","1283170","1283170","","","","0","0","0","","","","","","","0","0","0","0","0","0","1113089","73418","1186507","0","0","0","13151286","3257392","16408678","A",""
"144263","260415","365153","625568","","","","","","","","","","0","102682","102682","0","40494","40494","","","","","","","","","","","","","","","","","","","","","","","","","260415","508329","768744","A",""
"144281","31635264","0","31635264","","","","","","","","","","0","4994828","4994828","1143411","6871012","8014423","","","","73440","375786","449226","637542","84797","722339","","","","","","","","","","1602720","197175","1799895","","","","35092377","12523598","47615975","A",""
"144351","7711291","10981","7722272","","","","","","","","","","58114","0","58114","140791","7120","147911","","","","1169186","931622","2100808","38395","2121","40516","272353","0","272353","6506820","0","6506820","","","","321607","0","321607","","","","16218557","951844","17170401","A",""
"144564","2367454","99708","2467162","0","","0","3215212","176190","3391402","1894586","310142","2204728","0","3383575","3383575","0","1391952","1391952","0","","0","0","21835","21835","","0","0","0","","0","679221","","679221","0","","0","175653","152044","327697","0","","0","8332126","5535446","13867572","A",""
"144740","100676200","0","100676200","","","","1637559","0","1637559","","","","214015","3941445","4155460","0","1095770","1095770","0","21777","21777","1792592","1947839","3740431","322244","1170636","1492880","1213635","0","1213635","13056065","0","13056065","","","","1578461","688617","2267078","","","","120490771","8866084","129356855","A",""
"144759","17845091","","17845091","","","","","","","","","","","1159276","1159276","","","","","","","","","","","","","","","","","","","","","","","","","","","","17845091","1159276","19004367","A",""
"144768","13789489","","13789489","","","","","","","","","","","895811","895811","","","","","","","","","","","","","","","","","","","","","","","","","","","","13789489","895811","14685300","A",""
"144838","5396222","0","5396222","","","","268822","0","268822","","","","","","","0","168188","168188","","","","95606","293946","389552","222429","63407","285836","1225623","0","1225623","93508","0","93508","","","","192476","0","192476","","","","7494686","525541","8020227","A",""
"144865","14473649","2195532","16669181","1168","0","1168","12644302","2693225","15337527","27131406","985236","28116642","0","1366481","1366481","0","0","0","0","1670","1670","0","361057","361057","0","0","0","0","0","0","3057142","0","3057142","0","0","0","2557067","1775262","4332329","0","201257","201257","59864734","9579720","69444454","A","0"
"144883","963350","0","963350","","","","","","","","","","0","577406","577406","35141","477005","512146","","","","0","7250","7250","","","","","","","","","","","","","101734","76116","177850","","","","1100225","1137777","2238002","A","0"
"144892","21347317","","21347317","","","","38216795","","38216795","0","0","0","9880","4921444","4931324","11138","1946313","1957451","","103767","103767","152187","1689354","1841541","","","","7937577","","7937577","16422591","","16422591","","","","2213590","279952","2493542","","","","86311075","8940830","95251905","A","0"
"144944","3725127","195683","3920810","0","0","0","3391310","359272","3750582","9272072","718136","9990208","0","1223231","1223231","0","1118371","1118371","0","0","0","0","99281","99281","0","0","0","0","0","0","2068765","0","2068765","0","0","0","425001","1201537","1626538","0","0","0","18882275","4915511","23797786","A","0"
"144962","17614730","0","17614730","0","0","0","0","0","0","0","0","0","0","739656","739656","661979","130100","792079","0","0","0","515130","412909","928039","903174","230043","1133217","58287","0","58287","2647024","5522","2652546","0","0","0","534295","0","534295","0","0","0","22934619","1518230","24452849","A",""
"144971","3694789","0","3694789","0","0","0","0","0","0","0","0","0","0","432378","432378","101857","981807","1083664","0","0","0","575628","509636","1085264","20128","210145","230273","0","0","0","1376131","0","1376131","0","0","0","91344","0","91344","0","0","0","5859877","2133966","7993843","A",""
"145062","832366","0","832366","","","","37927","0","37927","","","","0","166872","166872","0","366606","366606","","","","190073","5047","195120","","","","","","","54241","0","54241","","","","127412","0","127412","71950","0","71950","1313969","538525","1852494","A",""
"145211","1471697","0","1471697","0","10000","10000","","","","","","","","","","","","","","","","250","0","250","","","","","","","95154","0","95154","","","","","","","","","","1567101","10000","1577101","A",""
"145275","1272277","0","1272277","","","","","","","","","","","55566","55566","","","","","","","1773823","364952","2138775","1314443","493912","1808355","","","","1280865","","1280865","","","","321327","87993","409320","","","","5962735","1002423","6965158","A",""
"145309","240383","337064","577447","","","","","","","","","","0","94783","94783","0","37379","37379","","","","","","","","","","","","","","","","","","","","","","","","","240383","469226","709609","A",""
"145336","6909848","","6909848","","","","19229899","","19229899","","","","68494","985609","1054103","","35851","35851","","","","","32144","32144","","","","","","","292588","","292588","","","","528143","","528143","","","","27028972","1053604","28082576","A",""
"145372","6224291","0","6224291","","","","","","","","","","0","813058","813058","75000","105400","180400","","","","866013","291508","1157521","325728","0","325728","28738","0","28738","2399863","0","2399863","","","","203152","2563","205715","","","","10122785","1212529","11335314","A",""
"145460","2248036","0","2248036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2248036","0","2248036","A",""
"145497","128270","","128270","","","","","","","","","","","2639","2639","","4352","4352","","","","758986","358732","1117718","41544","","41544","25410","","25410","","","","","","","6353","","6353","","","","960563","365723","1326286","A",""
"145521","1246825","59257","1306082","0","0","0","2765046","0","2765046","1549168","265391","1814559","8640","906518","915158","0","460061","460061","0","0","0","41243","44292","85535","0","0","0","73450","0","73450","488895","0","488895","0","0","0","130011","57401","187412","0","0","0","6303278","1792920","8096198","A","0"
"145558","18094826","0","18094826","","","","747844","0","747844","","","","1319047","2469146","3788193","","746584","746584","","","","4848284","1813730","6662014","445493","12020","457513","6459585","0","6459585","","","","","","","181988","0","181988","","","","32097067","5041480","37138547","A",""
"145600","65724456","0","65724456","0","0","","235221982","0","235221982","0","0","","13139192","46930799","60069991","233669","14145927","14379596","0","0","","1943150","33665451","35608601","0","830730","830730","26108743","0","26108743","53637469","0","53637469","167396157","0","167396157","1448468","36145209","37593677","3058070","0","3058070","567911356","131718116","699629472","A","0"
"145619","14864094","0","14864094","68293","0","68293","490644","0","490644","","","","0","598644","598644","","","","","","","985292","557060","1542352","0","249996","249996","262820","0","262820","2757318","0","2757318","","","","878761","0","878761","","","","20307222","1405700","21712922","A","0"
"145628","8707194","0","8707194","0","0","0","734467","0","734467","0","0","0","0","219911","219911","0","0","0","0","0","0","4108","24401","28509","0","5187","5187","0","0","0","682559","0","682559","1729823","0","1729823","226055","7661","233716","0","0","0","12084206","257160","12341366","A","0"
"145637","94768037","0","94768037","0","14902324","14902324","284282034","0","284282034","0","0","","32425800","108827634","141253434","2222558","24149732","26372290","0","0","","4974722","66229347","71204069","0","2087216","2087216","42678129","0","42678129","95799981","0","95799981","0","0","","1835133","0","1835133","2115644","0","2115644","561102038","216196253","777298291","A","50000"
"145646","17453043","0","17453043","","","","441980","178500","620480","","","","381047","450791","831838","0","2422850","2422850","","","","1276477","447054","1723531","2187340","38660","2226000","31127","0","31127","5705535","0","5705535","","","","255491","0","255491","","","","27732040","3537855","31269895","A",""
"145682","7088268","","7088268","","","","9064110","","9064110","5693957","1088298","6782255","","2383118","2383118","303765","1857719","2161484","","","","","","","","","","","","","3925384","","3925384","","","","1341228","620517","1961745","","","","27416712","5949652","33366364","A",""
"145691","5234786","0","5234786","","","","222265","0","222265","","","","45400","503136","548536","0","1382637","1382637","","","","329881","249799","579680","1987156","196347","2183503","","","","2121926","0","2121926","","","","212563","390","212953","","","","10153977","2332309","12486286","A",""
"145707","1099152","","1099152","0","0","0","8128024","1028832","9156856","1539110","1207846","2746956","","3667107","3667107","","","","","","","","","","","","","","","","1510440","","1510440","0","0","0","208837","1053872","1262709","","","","12485563","6957657","19443220","A","0"
"145725","46766772","0","46766772","","","","451358","0","451358","","","","958503","7435042","8393545","208308","1437303","1645611","2299","38476","40775","3375638","6242944","9618582","471620","2872799","3344419","1125289","0","1125289","7068356","0","7068356","","","","6684651","298561","6983212","","","","67112794","18325125","85437919","A",""
"145752","3338782","0","3338782","0","0","0","0","0","0","0","0","0","0","1736166","1736166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3338782","1736166","5074948","A",""
"145770","3107168","0","3107168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3107168","0","3107168","A","0"
"145813","48879384","","48879384","","","","67700400","","67700400","0","0","0","476529","9378531","9855060","114773","6480505","6595278","","","","37142","2079776","2116918","","","","4150726","","4150726","32652869","","32652869","","","","3068092","","3068092","","","","157079915","17938812","175018727","A","0"
"145831","1597128","0","1597128","2280","0","2280","2696505","0","2696505","2414388","570222","2984610","0","737156","737156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1603778","0","1603778","0","0","0","485447","33043","518490","0","0","0","8799526","1340421","10139947","A","0"
"145886","197157","0","197157","","","","","","","","","","","","","","","","","","","124501","36250","160751","6402","100","6502","","","","","","","","","","10524","0","10524","","","","338584","36350","374934","A",""
"146010","2825410","0","2825410","","","","","","","","","","0","123080","123080","","","","","","","","","","","","","","","","70590","0","70590","","","","266000","0","266000","","","","3162000","123080","3285080","A",""
"146205","2311762","0","2311762","0","0","0","5610860","0","5610860","1573357","172995","1746352","0","1926004","1926004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","279644","0","279644","0","0","0","701338","6158","707496","0","0","0","10476961","2105157","12582118","A","0"
"146241","11689558","17908","11707466","","","","","","","","","","","","","","","","","","","142499","","142499","","","","133857","15153","149010","550955","9954","560909","","","","898351","235708","1134059","","","","13415220","278723","13693943","A",""
"146278","1678339","0","1678339","0","0","0","2484802","0","2484802","1161000","99200","1260200","138","1499705","1499843","0","741593","741593","0","38048","38048","0","0","0","0","0","0","76415","0","76415","359151","0","359151","0","0","0","162580","158529","321109","0","0","0","5922425","2537075","8459500","A","0"
"146296","5985725","","5985725","","","","6195707","","6195707","9110419","333365","9443784","0","1421237","1421237","","1653458","1653458","","","","","","","","","","","29709","29709","","4020070","4020070","","","","831788","611258","1443046","","","","22123639","8069097","30192736","A","0"
"146339","3949729","0","3949729","","","","90159","0","90159","","","","1060","472129","473189","0","740801","740801","","","","869279","144142","1013421","82270","107730","190000","","","","1935141","0","1935141","","","","97044","77005","174049","","","","7024682","1541807","8566489","A",""
"146348","1901575","","1901575","","","","4038846","","4038846","1459553","363317","1822870","107004","1037404","1144408","297212","3319535","3616747","","","","","","","0","0","0","","","","1085474","","1085474","","","","445108","235095","680203","","","","9334772","4955351","14290123","A",""
"146366","1811520","21009","1832529","111932","1289802","1401734","3440822","1003252","4444074","1188403","184429","1372832","0","981296","981296","0","41048","41048","0","22376","22376","0","0","0","0","0","0","0","0","0","1009325","0","1009325","0","0","0","61657","2645","64302","0","0","0","7623659","3545857","11169516","A","1151427"
"146384","6678910","0","6678910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","764383","0","764383","7443293","0","7443293","A",""
"146393","2768402","0","2768402","","","","","","","","","","0","285961","285961","66631","379031","445662","","","","341916","559698","901614","100874","87888","188762","","","","1551902","44360","1596262","","","","302022","948","302970","","","","5131747","1357886","6489633","A",""
"146418","1614315","0","1614315","6988","","6988","2916683","","2916683","2096773","","2096773","","596068","596068","","769405","769405","","","","","164823","164823","","","","","","","699147","","699147","","","","110903","","110903","","","","7444809","1530296","8975105","A",""
"146427","10246863","0","10246863","","","","147943","0","147943","","","","123141","884860","1008001","","","","","","","2223704","421956","2645660","1183076","1104997","2288073","","","","3441423","0","3441423","","","","78301","0","78301","","","","17444451","2411813","19856264","A",""
"146472","6642132","","6642132","","","","5008548","","5008548","13179552","836855","14016407","","1148890","1148890","0","1780400","1780400","","595879","595879","","","","","","","","","","3425337","","3425337","","","","1861928","584067","2445995","","","","30117497","4946091","35063588","A","0"
"146481","14511724","73874","14585598","0","0","0","103899","0","103899","0","0","0","0","1032617","1032617","0","468080","468080","0","0","0","1257590","420627","1678217","647629","1004867","1652496","103846","0","103846","2409171","0","2409171","","","","241478","0","241478","0","0","0","19275337","3000065","22275402","A","0"
"146490","3304804","0","3304804","","","","","","","","","","","","","","","","","","","110495","29125","139620","","","","","","","","","","","","","130562","9218","139780","","","","3545861","38343","3584204","A",""
"146506","2783696","0","2783696","34422","0","34422","3540623","0","3540623","2800890","0","2800890","0","1469425","1469425","0","1813743","1813743","0","0","0","0","0","0","0","0","0","0","0","0","451457","0","451457","0","0","0","361630","605922","967552","0","0","0","9972718","3889090","13861808","A","34422"
"146603","2416260","0","2416260","","","","3384860","","3384860","3284960","294693","3579653","","2504988","2504988","","629139","629139","","","","","446538","446538","","","","9045","","9045","287659","","287659","","","","421818","","421818","","","","9804602","3875358","13679960","A",""
"146612","18028141","0","18028141","0","0","0","701195","0","701195","0","0","0","43181","3510349","3553530","0","0","0","0","0","0","407559","492651","900210","0","0","0","250662","0","250662","3073982","0","3073982","0","0","0","415319","0","415319","0","0","0","22920039","4003000","26923039","A","0"
"146621","121238","1500","122738","70","0","70","5647","4501","10148","","","","0","25667","25667","0","37385","37385","","","","113235","0","113235","","","","15900","0","15900","","","","","","","8443","0","8443","","","","264533","69053","333586","A",""
"146667","1544672","0","1544672","","","","","","","","","","0","295795","295795","0","451661","451661","","","","1669035","0","1669035","","","","64577","0","64577","1055182","0","1055182","","","","122432","79353","201785","","","","4455898","826809","5282707","A",""
"146676","6965630","0","6965630","","","","179376","0","179376","","","","0","1077364","1077364","0","1903875","1903875","","","","295858","0","295858","450619","0","450619","","","","1554741","0","1554741","","","","214889","0","214889","","","","9661113","2981239","12642352","A",""
"146685","3727668","259026","3986694","0","0","0","3909670","0","3909670","4977770","","4977770","42923","1108462","1151385","173335","2354381","2527716","","","","","","","","","","","","","1566292","","1566292","","","","1134794","","1134794","","","","15532452","3721869","19254321","A","0"
"146719","97437109","845923","98283032","","","","0","3450635","3450635","","","","2060825","9967182","12028007","1715233","83253","1798486","","","","1690397","7813508","9503905","29928","3309015","3338943","2659428","24586591","27246019","10163001","0","10163001","388588542","0","388588542","5161175","0","5161175","","","","509505638","50056107","559561745","A",""
"146728","629284","0","629284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2895072","399059","3294131","58671","284505","343176","0","0","0","1231935","0","1231935","0","0","0","206933","0","206933","0","0","0","5021895","683564","5705459","A",""
"146816","2139178","0","2139178","","","","88882","0","88882","","","","","","","","","","","","","8596","0","8596","45086","0","45086","","","","130979","0","130979","","","","","","","","","","2412721","0","2412721","A",""
"146825","4649215","0","4649215","","","","","","","","","","45901","1898004","1943905","227088","2460944","2688032","","","","567698","224695","792393","284923","0","284923","31149","0","31149","1951629","0","1951629","","","","116390","0","116390","","","","7873993","4583643","12457636","A",""
"146977","1181310","0","1181310","","","","","","","","","","","","","","","","","","","786470","1787255","2573725","1437191","14543764","15980955","","","","255288","0","255288","","","","117151","294120","411271","","","","3777410","16625139","20402549","A",""
"147004","2564981","","2564981","0","197678","197678","1590953","290211","1881164","4897754","1845617","6743371","","329470","329470","","","","","","","","9266","9266","","","","","","","991157","","991157","","","","172183","313699","485882","","","","10217028","2985941","13202969","A","151343"
"147013","6401729","60762","6462491","","","","181258","0","181258","","","","0","762978","762978","0","1537694","1537694","128275","76943","205218","291746","84547","376293","138596","265008","403604","","","","1101572","0","1101572","","","","318342","0","318342","","","","8561518","2787932","11349450","A",""
"147031","314093","0","314093","","","","","","","","","","","","","","","","","","","191258","161568","352826","405101","153500","558601","","","","66645","0","66645","","","","30778","0","30778","","","","1007875","315068","1322943","A",""
"147095","785429","0","785429","","","","","","","","","","0","40792","40792","0","164724","164724","","","","","","","","","","","","","23535","0","23535","599170","0","599170","","","","","","","1408134","205516","1613650","A",""
"147138","1582153","0","1582153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13278","0","13278","0","0","0","1595431","0","1595431","A",""
"147165","1273344","0","1273344","","","","","","","","","","0","478813","478813","","","","","","","0","2790","2790","","","","","","","256145","0","256145","","","","","","","","","","1529489","481603","2011092","A",""
"147244","16600042","0","16600042","0","0","0","480344","0","480344","0","0","0","24392","1071481","1095873","84700","3156126","3240826","0","0","0","1440382","222838","1663220","1502066","690541","2192607","230118","0","230118","3407637","0","3407637","0","0","0","449418","0","449418","0","0","0","24219099","5140986","29360085","A","0"
"147341","7599478","0","7599478","0","0","0","0","0","0","0","0","0","0","790990","790990","141543","1281237","1422780","0","0","0","1266416","218595","1485011","487491","505785","993276","0","0","0","1907028","0","1907028","0","0","0","115642","19340","134982","0","0","0","11517598","2815947","14333545","A","0"
"147369","9183141","0","9183141","0","0","0","0","0","0","0","0","0","0","790803","790803","214125","1175866","1389991","0","0","0","2975658","66182","3041840","5000","0","5000","0","0","0","4345272","0","4345272","0","0","0","0","0","0","0","0","0","16723196","2032851","18756047","A","0"
"147378","12392141","922","12393063","","1034724","1034724","7641137","","7641137","9401798","3062142","12463940","237006","1100908","1337914","","2965870","2965870","0","0","0","","60902","60902","","478956","478956","115329","","115329","4623427","","4623427","","","","749170","1299471","2048641","","","","35160008","10003895","45163903","A",""
"147396","906456","0","906456","","","","","","","","","","0","146888","146888","33880","0","33880","","","","","","","","","","","","","207071","0","207071","","","","52680","0","52680","","","","1200087","146888","1346975","A",""
"147411","1619976","71171","1691147","0","0","0","552921","0","552921","3119796","356993","3476789","0","323373","323373","1484912","697229","2182141","0","0","0","0","0","0","0","0","0","0","0","0","644226","0","644226","0","0","0","460372","150429","610801","0","0","0","7882203","1599195","9481398","A","0"
"147518","251771","0","251771","","","","4005","0","4005","","","","0","143961","143961","","79738","79738","82961","0","82961","187360","0","187360","0","1563","1563","50917","0","50917","","","","","","","39146","0","39146","","","","616160","225262","841422","A",""
"147536","37296020","0","37296020","0","0","0","579933","0","579933","0","0","0","662485","2447807","3110292","334607","3700672","4035279","0","0","0","1373684","0","1373684","1465084","0","1465084","3094955","0","3094955","975977","0","975977","0","0","0","512270","0","512270","","","","46295015","6148479","52443494","A",""
"147590","8942893","0","8942893","","","","1590491","0","1590491","","","","0","686258","686258","","","","","","","285230","802112","1087342","122569","10774","133343","","","","2160643","0","2160643","","","","92650","0","92650","","","","13194476","1499144","14693620","A",""
"147660","16412507","0","16412507","0","0","0","0","0","0","0","0","0","0","537286","537286","342867","1555717","1898584","0","0","0","2204623","532619","2737242","402303","128739","531042","0","0","0","2883435","0","2883435","0","0","0","351468","67659","419127","0","0","0","22597203","2822020","25419223","A",""
"147679","9346347","0","9346347","0","0","0","0","0","0","0","0","0","0","1184223","1184223","0","1014780","1014780","0","0","0","2070158","768359","2838517","706255","0","706255","0","0","0","2493739","0","2493739","0","0","0","312454","0","312454","0","0","0","14928953","2967362","17896315","A",""
"147697","551808","","551808","","","","","","","","","","","","","","","","","","","737502","329423","1066925","225184","28647","253831","","","","588745","","588745","","","","77088","","77088","","","","2180327","358070","2538397","A",""
"147703","44451824","0","44451824","0","0","0","91484157","0","91484157","0","0","0","1137084","11256678","12393762","305965","3544706","3850671","0","0","0","352708","2851874","3204582","0","0","0","6671946","0","6671946","44763319","65061","44828380","0","0","0","1075683","0","1075683","0","0","0","190242686","17718319","207961005","A","0"
"147767","226979000","0","226979000","","","","","","","","","","17229000","57877000","75106000","3350000","3355000","6705000","","","","15418000","34280000","49698000","21032000","15052000","36084000","43720000","0","43720000","34363000","0","34363000","","","","86668000","1158000","87826000","","","","448759000","111722000","560481000","A",""
"147776","12972187","0","12972187","0","0","0","32421450","","32421450","0","0","0","0","5266274","5266274","0","334030","334030","0","78652","78652","141029","703286","844315","0","0","0","1533124","0","1533124","1979475","0","1979475","0","0","0","534436","104748","639184","0","0","0","49581701","6486990","56068691","A","0"
"147800","5126961","214498","5341459","","","","5529003","","5529003","14086665","","14086665","","1042643","1042643","","825003","825003","78543","","78543","","19628","19628","","","","347872","","347872","4888130","","4888130","","","","1458074","392287","1850361","","","","31515248","2494059","34009307","A","0"
"147828","9292414","0","9292414","0","0","0","0","0","0","0","0","0","0","800213","800213","216673","1189858","1406531","0","0","0","2975658","66182","3041840","5000","0","5000","0","0","0","4396978","0","4396978","0","0","0","0","0","0","0","0","0","16886723","2056253","18942976","A","0"
"147916","7185125","","7185125","","","","5900504","10536","5911040","6626567","15098","6641665","","3990128","3990128","","777817","777817","","","","","","","","","","","","","1313364","","1313364","","","","1326195","218838","1545033","","","","22351755","5012417","27364172","A",""
"147925","7563484","0","7563484","0","0","0","0","0","0","0","0","0","0","899275","899275","109922","83913","193835","0","0","0","23905","1120","25025","62895","0","62895","154372","0","154372","1528574","0","1528574","0","0","0","152164","0","152164","0","0","0","9595316","984308","10579624","A","0"
"148007","3625991","","3625991","","","","2805395","0","2805395","3822100","0","3822100","13010","1274850","1287860","698","611070","611768","0","0","0","2676","67631","70307","0","0","0","25583","0","25583","1231078","0","1231078","0","0","0","392650","","392650","","","","11919181","1953551","13872732","A",""
"148016","6498714","0","6498714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","447562","0","447562","3907674","0","3907674","0","0","0","4020471","0","4020471","0","0","0","0","0","0","0","0","0","14874421","0","14874421","A","0"
"148131","9733959","0","9733959","0","0","0","220973","0","220973","0","0","0","0","899650","899650","0","0","0","0","0","0","500083","122742","622825","211632","99781","311413","13974","0","13974","3039352","0","3039352","0","0","0","175632","740","176372","0","0","0","13895605","1122913","15018518","A",""
"148177","2901336","0","2901336","","","","","","","","","","0","239799","239799","","","","","","","","","","","","","","","","","","","","","","","","","","","","2901336","239799","3141135","A",""
"148256","1419606","","1419606","","","","3710976","","3710976","959497","169460","1128957","","1846116","1846116","","1264348","1264348","","","","","","","","","","","","","729834","","729834","","","","353237","252966","606203","","","","7173150","3532890","10706040","A",""
"148292","2133449","","2133449","","","","2485626","","2485626","4311494","","4311494","","778342","778342","","","","","","","","","","","","","","","","","","","","","","708630","","708630","","","","9639199","778342","10417541","A",""
"148335","12940220","0","12940220","","","","","","","","","","0","2664399","2664399","0","3057308","3057308","","","","","","","","","","","","","640074","0","640074","","","","250485","53300","303785","","","","13830779","5775007","19605786","A",""
"148380","3900642","56900","3957542","","","","","","","","","","","2354789","2354789","4353725","1283241","5636966","6816889","2203341","9020230","","123454","123454","","","","","","","422785","","422785","0","0","0","812137","273810","1085947","","","","16306178","6295535","22601713","A",""
"148405","9311431","64922","9376353","","","","","","","","","","0","482557","482557","0","1425434","1425434","","","","1341710","2708977","4050687","130027","406701","536728","","","","2193726","0","2193726","","","","147105","0","147105","","","","13123999","5088591","18212590","A",""
"148487","27036834","0","27036834","","","","541314","0","541314","","","","13129","2354456","2367585","172690","1040580","1213270","4312","91179","95491","1765530","1310404","3075934","138466","184089","322555","","","","1536219","0","1536219","","","","659136","0","659136","","","","31867630","4980708","36848338","A",""
"148496","10566431","0","10566431","","","","","","","","","","10905","471110","482015","244682","1186585","1431267","","","","611462","255487","866949","151788","0","151788","","","","1816033","0","1816033","","","","382655","9058","391713","","","","13783956","1922240","15706196","A",""
