unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03
"211440","95731000","0","95731000","","","","","","","","","","19689000","77843000","97532000","746000","2528000","3274000","","","","13148000","32300000","45448000","13082000","4999000","18081000","4003000","4365000","8368000","25123000","0","25123000","","","","7443000","3061000","10504000","","","","178965000","125096000","304061000","A",""
"211468","6327047","0","6327047","","","","","","","","","","0","331336","331336","186846","10469","197315","","","","1236862","228180","1465042","259867","204480","464347","","","","1983431","0","1983431","","","","293800","0","293800","","","","10287853","774465","11062318","A",""
"211477","2501123","0","2501123","0","13178","13178","9648","1623","11271","9551","0","9551","","552320","552320","332","331212","331544","0","18280","18280","137","2039","2176","0","0","0","59642","0","59642","798546","0","798546","0","0","0","426183","3870","430053","5306","0","5306","3810468","922522","4732990","A",""
"211486","6759","0","6759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6759","0","6759","A",""
"211556","4937620","0","4937620","14396","322213","336609","0","162453","162453","","","","0","283769","283769","0","334461","334461","","","","551618","551862","1103480","1022494","522111","1544605","","","","1557163","0","1557163","","","","28714","0","28714","","","","8112005","2176869","10288874","A",""
"211583","5176681","0","5176681","","","","","","","","","","0","361990","361990","0","271555","271555","","","","1140976","103202","1244178","114415","44431","158846","","","","1541995","0","1541995","","","","492190","0","492190","","","","8466257","781178","9247435","A",""
"211608","4488494","0","4488494","","","","12516310","0","12516310","","","","0","2402611","2402611","11241","1555618","1566859","","","","0","90537","90537","","","","","","","2714861","0","2714861","","","","893360","0","893360","","","","20624266","4048766","24673032","A",""
"211617","1900835","0","1900835","","","","","","","","","","0","334258","334258","0","302694","302694","","","","","","","","","","241","0","241","274625","0","274625","","","","25258","0","25258","","","","2200959","636952","2837911","A",""
"211644","16913095","0","16913095","","","","23825649","38027","23863676","","","","12892","3619274","3632166","7292","2422323","2429615","0","54946","54946","142615","1883217","2025832","0","17632","17632","84953","0","84953","5929499","0","5929499","","","","887020","11748","898768","","","","47803015","8047167","55850182","A",""
"211662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"211671","275523","","275523","","","","","","","","","","","37976","37976","","","","","","","","","","","","","","","","","","","","","","","","","","","","275523","37976","313499","A",""
"211893","78880","0","78880","","","","","","","","","","0","4006","4006","","","","","","","2757670","172220","2929890","638146","182354","820500","","","","","","","","","","19034","1918","20952","","","","3493730","360498","3854228","A",""
"211909","378496","0","378496","0","0","0","0","0","0","0","0","0","0","75100","75100","0","0","0","0","0","0","2430","0","2430","0","0","0","88040","0","88040","0","0","0","0","0","0","0","0","0","0","0","0","468966","75100","544066","A",""
"211927","10008227","0","10008227","","","","8884273","0","8884273","3640778","0","3640778","0","1506624","1506624","0","421584","421584","","","","0","347176","347176","","","","","","","2040948","0","2040948","","","","484229","10121","494350","","","","25058455","2285505","27343960","A",""
"211945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"211981","9785694","0","9785694","","","","442934","0","442934","","","","0","712502","712502","21618","30718","52336","","","","483268","292346","775614","","","","536965","0","536965","2850393","0","2850393","","","","279137","27478","306615","","","","14400009","1063044","15463053","A",""
"212009","29352152","0","29352152","","","","0","305642","305642","","","","0","1192932","1192932","","","","","","","1079914","558872","1638786","1312092","1453899","2765991","","","","11506767","57675","11564442","","","","1440458","7989","1448447","","","","44691383","3577009","48268392","A",""
"212018","5461941","0","5461941","","","","","","","","","","92453","42132","134585","32281","249176","281457","","","","279029","75374","354403","0","200375","200375","","","","448557","0","448557","","","","202854","0","202854","","","","6517115","567057","7084172","A",""
"212054","88183488","0","88183488","","","","5644285","0","5644285","","","","2643471","8196830","10840301","205214","1687043","1892257","3455","11358","14813","2677023","3549787","6226810","1026766","1999188","3025954","244504","0","244504","12604738","0","12604738","","","","2096463","203971","2300434","","","","115329407","15648177","130977584","A",""
