unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b124,b131,b132,b133,b134,b161,b162,b163,b164,b191,b192,b193,b194,b221,b222,b223,b224,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb124","xb131","xb132","xb133","xb134","xb161","xb162","xb163","xb164","xb191","xb192","xb193","xb194","xb221","xb222","xb223","xb224","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"143880","229841","0","229841","174404","0","0","0","0","0","0","0","0","403371","0","403371","235726","55724","0","55724","0","0","0","0","0","327654","0","327654","0","0","155816","155816","0","0","0","0","0","0","1016590","155816","1172406","410130","0","0","0","0","0","0","0","0","0","0","0","0","1016590","155816","1172406","410130","410130","70317","0","0","480447","2864","0","0","0","0","0","0",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,18,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,18,18,16,31,31,18,10,31,31,31,31,31,31
"143941","144612","0","144612","8949","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11678","0","11678","1132","7832","0","7832","0","0","0","0","0","0","0","0","0","0","164122","0","164122","10081","0","0","0","0","0","0","0","0","0","0","0","0","164122","0","164122","10081","10081","0","0","0","10081","0","0","0","0","0","0","0",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"143978","1178781","0","1178781","704227","0","0","0","0","0","0","0","0","121385","0","121385","65436","0","0","0","0","656814","0","656814","337859","400464","0","400464","0","60000","0","60000","0","0","0","0","0","0","2417444","0","2417444","1107522","0","0","0","0","0","0","0","0","0","0","0","0","2417444","0","2417444","1107522","1107522","166648","0","0","1274170","121385","0","0","0","0","0","0",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"144005","26949189","1297081","28246270","22080856","0","1744397","1744397","779416","339007","3025676","3364683","1357842","4046408","75780","4122188","2776327","3954138","1184009","5138147","3115124","8564437","287756","8852193","4655475","6457889","33254","6491143","3563385","1945266","7538715","9483981","0","0","0","92197","-92197","0","52348531","15094471","67443002","38328425","3650675","0","3650675","1548803","0","0","0","0","0","0","0","0","55999206","15094471","71093677","39877228","38328425","1090838","0","5811882","45231145","1864420","415565","0","0","0","0","0",10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,31,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,11,10,10,10,18,10,31,10,18,10,10,31,31,31,31,31
"144014","809992","55396","865388","627207","0","0","0","0","8449","51563","60012","37890","113008","0","113008","72761","51207","0","51207","24108","808988","21590","830578","322110","257210","3370","260580","81520","39201","101295","140496","0","0","0","0","0","0","2088055","233214","2321269","1165596","211951","0","211951","72181","0","0","0","0","0","0","0","0","2300006","233214","2533220","1237777","1165596","315152","0","0","1480748","113008","0","0","0","0","0","0",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"144050","267302000","68841000","336143000","240974000","0","117151000","117151000","52325000","0","0","0","0","24483000","2285000","26768000","12585000","16498000","324000","16822000","9116000","41398000","0","41398000","27620000","33358000","643000","34001000","7331000","68783000","10848000","79631000","13957000","0","13957000","85423000","-2479000","82944000","551202000","197613000","748815000","349951000","107276000","331000","107607000","19538000","0","0","0","0","0","555997000","555997000","0","658478000","753941000","1412419000","369489000","349951000","75441000","0","0","425392000","21848000","350000","3618000","0","0","0","0",10,10,10,10,10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,31,31,10,10,10,10,31,31,31,31
"144069","2258326","0","2258326","1901137","0","0","0","0","138654","0","138654","46929","687373","0","687373","255060","1639227","0","1639227","973289","1524283","0","1524283","767471","488525","0","488525","138033","0","4112889","4112889","215692","0","215692","0","0","0","6952080","4112889","11064969","4081919","498102","0","498102","44381","0","0","0","0","0","0","0","0","7450182","4112889","11563071","4126300","4081919","899509","0","0","4981428","199375","0","0","0","0","0","0",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"144157","11425227","1272147","12697374","10490029","0","0","0","0","316147","495530","811677","478609","927975","1719237","2647212","1666071","1999272","233391","2232663","1452895","4728414","466530","5194944","1820645","3806714","6891","3813605","1840611","0","3710131","3710131","187676","0","187676","-874683","-83283","-957966","22516742","7820574","30337316","17748860","0","0","0","0","0","0","0","0","0","0","0","0","22516742","7820574","30337316","17748860","17748860","2240306","0","0","19989166","55974","0","0","0","0","0","0",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"144166","15640127","1741456","17381583","14359923","0","0","0","0","432777","678337","1111114","655173","1270316","2353484","3623800","2280704","2736827","319492","3056319","1988885","6472781","638638","7111419","2492302","5211056","9433","5220489","2519635","0","3225405","3225405","256912","0","256912","-1197363","-114008","-1311371","30823433","8852237","39675670","24296622","0","0","0","0","0","0","0","0","0","0","0","0","30823433","8852237","39675670","24296622","24296622","3066781","0","0","27363403","65346","0","0","0","0","0","0",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"144175","8019759","892963","8912722","7363311","0","0","0","0","221914","347829","569743","335952","651378","1206791","1858169","1169472","1403358","163825","1567183","1019837","3319036","327473","3646509","1277973","2672063","4837","2676900","1291988","0","3316851","3316851","131736","0","131736","-613970","-58459","-672429","15805274","6202110","22007384","12458533","0","0","0","0","0","0","0","0","0","0","0","0","15805274","6202110","22007384","12458533","12458533","1572548","0","0","14031081","56160","0","0","0","0","0","0",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
