unitid,part,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,a81,a82,a83,a84,a85,a86,a87,a88,a89,a90,a91,a92,a93,a94,a95,a96,a97,a98,a99,a100,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,a129,a130,a131,a132,a133,a134,a135,a136,a137,a138,a139,a140,a141,a142,a143,a144,a145,a146,a147,a148,a149,a150,a151,a152,a153,a154,a155,ga34,ga35,ga69,ga70,ga74,ga75,ga109,ga110,ga144,ga145,ga149,ga150
"101693","A","9","2","0","11","414913","4","8","0","12","404415","1","11","0","12","382561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","21","0","35","1201889","5","2","0","7","246170","0","10","0","10","324503","0","18","0","18","509588","0","15","0","15","351020","0","0","0","0","0","0","0","0","0","0","5","45","0","50","1431281","19","66","0","85","2633170","0","0","0","0","0","0","1","0","1","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","144529","2","1","0","3","234284","1","1","0","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","7","477434","3","7","0","10","621963","0","0","0","0","0","35","1201889","50","1431281","85","2633170","3","144529","7","477434","10","621963"
"101709","A","35","2","0","37","1787477","19","0","1","20","885263","1","18","1","20","652683","0","4","2","6","164000","0","0","0","0","0","0","0","0","0","0","55","24","4","83","3489423","12","0","0","12","551966","14","1","1","16","578063","3","14","0","17","546023","0","8","1","9","268161","0","0","0","0","0","0","0","0","0","0","29","23","2","54","1944213","84","47","6","137","5433636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","3489423","54","1944213","137","5433636","0","0","0","0","0","0"
"101736","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","2","0","40","1595901","38","2","0","40","1595901","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","7","0","29","1061022","22","7","0","29","1061022","60","9","0","69","2656923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","1","1","0","2","0","1","1","0","2","0","0","0","0","0","0","40","1595901","29","1061022","69","2656923","0","0","0","0","0","0"
"101879","A","37","1","0","38","1932433","19","6","1","26","1172464","19","13","1","33","1289698","3","2","2","7","237032","0","0","0","0","0","0","0","0","0","0","78","22","4","104","4631627","11","0","0","11","556281","13","7","0","20","891912","13","16","1","30","1128946","5","9","0","14","466718","0","0","0","0","0","0","0","0","0","0","42","32","1","75","3043857","120","54","5","179","7675484","14","0","0","14","862413","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1","0","16","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","2","1","3","106680","0","0","0","0","0","0","0","0","0","0","1","3","1","5","0","16","4","1","21","1168044","0","0","0","0","0","104","4631627","75","3043857","179","7675484","14","862413","3","106680","17","969093"
"101897","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","2","13","496521","8","3","2","13","496521","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","3","0","16","618404","13","3","0","16","618404","21","6","2","29","1114925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","175166","3","0","0","3","175166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","2","0","0","2","0","5","0","0","5","0","0","0","0","0","0","13","496521","16","618404","29","1114925","3","175166","0","0","3","175166"
"101912","A","7","1","0","8","275224","3","3","0","6","198579","0","16","0","16","488401","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","10","20","1","31","0","3","0","0","3","101467","8","3","0","11","360794","0","19","0","19","587463","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","11","22","2","35","0","21","42","3","66","2098497","1","4","0","5","183360","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","7","0","3","0","0","3","109099","3","0","0","3","105203","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","7","0","8","6","0","14","499197","0","0","0","0","0","30","962204","33","1049724","63","2011928","5","183360","6","214302","11","397662"
"102094","A","73","2","0","75","4464433","60","7","0","67","3097334","8","50","4","62","2614925","1","1","15","17","564548","0","0","2","2","0","0","0","0","0","0","142","60","21","223","0","12","1","0","13","683509","8","3","0","11","523217","2","31","6","39","1530001","4","0","17","21","666470","0","0","0","0","0","0","0","0","0","0","26","35","23","84","3403197","168","95","44","307","0","36","3","0","39","3279240","9","3","2","14","857188","14","0","1","15","864380","0","1","7","8","277311","0","0","1","1","0","0","0","0","0","0","59","7","11","77","0","7","0","0","7","439389","3","7","1","11","614364","6","7","21","34","1652400","0","1","5","6","253747","0","0","0","0","0","0","0","0","0","0","16","15","27","58","2959900","75","22","38","135","0","0","0","0","0","0","221","10741240","84","3403197","305","14144437","76","5278119","58","2959900","134","8238019"
"102234","A","22","0","1","23","1068100","12","0","0","12","452729","1","5","3","9","296403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","5","4","44","1817232","2","1","0","3","146554","6","0","0","6","224045","0","7","1","8","238342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","1","17","608941","43","13","5","61","2426173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","1817232","17","608941","61","2426173","0","0","0","0","0","0"
"102261","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","4","4","104014","0","0","3","3","53560","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","10","10","271103","0","0","0","0","0","0","0","0","0","0","0","7","157574","0","0","7","157574"
"102270","A","7","2","0","9","302530","2","3","0","5","156162","3","9","0","12","316094","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","12","14","2","28","0","4","0","0","4","141212","7","2","0","9","281468","5","5","1","11","291300","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","16","7","3","26","0","28","21","5","54","1592666","1","0","0","1","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","3","135000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","1","0","4","191600","0","0","0","0","0","26","774786","24","713980","50","1488766","3","135000","0","0","3","135000"
"102298","A","13","1","0","14","468911","2","0","0","2","0","0","5","0","5","146690","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","15","8","0","23","743617","2","0","0","2","0","1","3","0","4","118701","0","4","0","4","112809","0","6","0","6","144954","0","0","0","0","0","0","0","0","0","0","3","13","0","16","0","18","21","0","39","1181532","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","3","0","3","121777","0","0","0","0","0","23","743617","14","376464","37","1120081","0","0","0","0","0","0"
"102313","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","85306","0","3","0","3","85306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","151269","0","4","0","4","151269","0","7","0","7","236575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","12","558657","11","1","0","12","558657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","1","0","25","1318044","24","1","0","25","1318044","35","2","0","37","1876701","0","0","0","0","0","3","85306","4","151269","7","236575","12","558657","25","1318044","37","1876701"
"102322","A","4","2","0","6","282878","7","6","0","13","587140","1","11","0","12","478114","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","12","20","0","32","0","4","0","0","4","174289","3","0","0","3","131637","1","11","0","12","439669","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","11","0","19","745595","20","31","0","51","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","1","3","154095","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","3","0","2","5","222901","0","0","0","0","0","31","1348132","19","745595","50","2093727","3","154095","0","0","3","154095"
"102359","A","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","2","1","3","110877","5","1","0","6","385681","2","2","1","5","277184","3","6","1","10","464506","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","10","9","3","22","0","0","1","0","1","0","2","1","0","3","133558","1","2","0","3","119363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","7","0","13","13","3","29","0","0","0","0","0","0","0","0","0","0","0","0","21","1127371","6","252921","27","1380292"
"102368","A","9","0","0","9","482887","24","5","0","29","1292415","8","19","0","27","944157","0","0","6","6","150021","0","0","0","0","0","0","0","0","0","0","41","24","6","71","2869480","5","0","0","5","237131","10","1","0","11","459489","16","16","0","32","1142868","3","0","16","19","517481","0","0","0","0","0","0","0","0","0","0","34","17","16","67","2356969","75","41","22","138","5226449","9","1","0","10","642232","11","3","0","14","726012","2","7","0","9","356328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","11","0","33","1724572","3","1","0","4","229892","10","1","0","11","555893","15","17","0","32","1266417","0","0","3","3","86322","0","0","0","0","0","0","0","0","0","0","28","19","3","50","2138524","50","30","3","83","3863096","0","0","0","0","0","71","2869480","67","2356969","138","5226449","33","1724572","50","2138524","83","3863096"
"102377","A","44","2","3","49","2328110","23","26","3","52","2058314","6","36","8","50","1729763","2","13","2","17","449448","0","0","3","3","85840","0","0","2","2","0","75","77","21","173","0","7","0","1","8","305422","12","3","1","16","572267","8","21","1","30","939345","1","18","4","23","581252","0","1","2","3","73644","0","0","3","3","43500","28","43","12","83","2515430","103","120","33","256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","171","6651475","83","2515430","254","9166905","0","0","0","0","0","0"
"102395","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","3","3","114366","0","0","6","6","207399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","9","321765","0","0","9","321765"
"102410","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","0","11","366907","10","1","0","11","366907","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","5","167872","4","1","0","5","167872","14","2","0","16","534779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","144287","0","2","2","4","144287","0","2","3","5","0","0","0","0","0","0","11","366907","5","167872","16","534779","0","0","4","144287","4","144287"
"102429","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","11","0","44","1638986","33","11","0","44","1638986","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","3","0","28","1073560","25","3","0","28","1073560","58","14","0","72","2712546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","423586","7","0","0","7","423586","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","409003","7","0","0","7","409003","14","0","0","14","832589","0","0","0","0","0","44","1638986","28","1073560","72","2712546","7","423586","7","409003","14","832589"
"102553","A","91","0","1","92","5771116","55","6","4","65","3436951","14","30","18","62","2808735","3","3","8","14","522481","0","0","0","0","0","0","0","0","0","0","163","39","31","233","12539283","29","0","1","30","1867607","58","3","1","62","3106352","4","37","16","57","2226615","1","3","7","11","393597","0","0","0","0","0","0","0","0","0","0","92","43","25","160","7594171","255","82","56","393","20133454","6","0","1","7","644450","2","1","0","3","203801","1","1","1","3","175890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","2","2","13","1024141","6","0","0","6","479094","3","1","1","5","319481","0","3","3","6","310997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","4","17","1109572","18","6","6","30","2133713","0","0","0","0","0","233","12539283","160","7594171","393","20133454","13","1024141","17","1109572","30","2133713"
"102614","A","61","0","1","62","4096243","55","3","0","58","3205551","5","47","4","56","2387754","0","6","8","14","537064","0","0","0","0","0","0","0","2","2","0","121","56","15","192","0","10","1","0","11","634215","26","1","1","28","1542680","4","34","3","41","1687040","0","8","11","19","697029","0","0","0","0","0","0","0","2","2","0","40","44","17","101","0","161","100","32","293","14917733","30","1","0","31","2625875","22","1","0","23","1581445","0","4","1","5","246812","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","52","6","3","61","0","2","0","0","2","0","8","1","0","9","557725","2","7","0","9","462083","0","1","2","3","151911","0","0","0","0","0","0","0","0","0","0","12","9","2","23","0","64","15","5","84","5885565","0","0","0","0","0","190","10226612","99","4560964","289","14787576","59","4454132","21","1171719","80","5625851"
"102632","A","10","1","0","11","669122","8","4","0","12","654920","2","10","5","17","644519","0","0","2","2","0","0","0","0","0","0","0","0","1","1","0","20","15","8","43","2053092","5","0","0","5","292433","5","2","0","7","359570","0","11","2","13","507921","0","0","3","3","82909","0","0","0","0","0","0","0","0","0","0","10","13","5","28","1242833","30","28","13","71","3295925","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","2","0","0","2","0","0","1","1","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","1","5","265724","2","2","3","7","373141","0","0","0","0","0","43","2053092","28","1242833","71","3295925","0","0","5","265724","5","265724"
"102669","A","0","0","6","6","290704","0","0","2","2","0","0","0","5","5","202000","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","14","615504","0","0","1","1","0","0","0","5","5","217480","0","0","4","4","149600","0","0","4","4","141421","0","0","0","0","0","0","0","0","0","0","0","0","14","14","0","0","0","28","28","1169005","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","28","28","1169005","14","615504","13","508501","27","1124005","0","0","0","0","0","0"
"384360","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","164230","0","0","0","0","0","0","0","0","0","0","0","0","6","6","164230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","164230","0","0","6","6","164230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","2","2","0","0","0","8","8","0","0","0","0","0","0","6","164230","0","0","6","164230","6","164230","0","0","6","164230"
"384379","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","79325","0","0","3","3","79325","0","0","3","3","79325","0","0","0","0","0","0","0","0","0","0","0","0","0","3","79325","3","79325"
