unitid,b011,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072",b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,"xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"213400","498084","3948118","723393","22061","745454","0","0","0","0","0","0","3837962","855610","4693572","1360932","299634","0","0","1660566","110989","0","0","0","0","0","0",10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"8302","506386","437724","0","0","0","0","0","4216","4216","0","43765","95422","139187","82316","391201","106496","497697","228682","1494023","113667","1607690","543225","264236","24815","289051","68985","345283","402990","748273","77977","0","77977","0","77641","77641","3114569","833549",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,13,13,13,13,13,13
"213446","562529","2494241","16320","0","16320","0","0","0","0","0","0","2040904","469657","2510561","988212","269823","0","0","1258035","265383","0","0","0","0","0","0",10,10,10,10,10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,10,10,"61198","623727","422723","0","4044","4044","0","0","0","0","0","248608","16775","265383","148317","86014","29548","115562","52134","610283","57814","668097","320457","254511","0","254511","44581","262639","300278","562917","0","0","0","0","0","0","2024584","469657",10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,13,13,13,13,13,13
"213507","5237015","15007708","3291633","46520","3338153","0","0","0","0","0","0","16674981","1670880","18345861","5957345","1601546","0","0","7558891","502130","317641","0","0","0","0","0",10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"516855","5753870","3429072","0","0","0","0","1655643","57603","1713246","752640","806974","45394","852368","414884","404443","10313","414756","299562","1496954","16036","1512990","632024","1307623","36378","1344001","429163","1924118","782798","2706916","436707","39753","476460","113871","119230","233101","13383348","1624360",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,10,13,13,13,13,13
"213525","5253248","14279254","0","1305826","1305826","0","0","0","0","0","0","11366722","4218358","15585080","8323948","1752237","0","0","10076185","497540","0","0","0","0","0","0",10,10,10,10,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,"654144","5907392","4601208","0","0","0","0","0","0","0","0","1461357","252995","1714352","1175128","1091142","85399","1176541","931184","2308685","12738","2321423","1155144","1252290","0","1252290","461284","0","1907256","1907256","0","0","0","0","0","0","11366722","2912532",10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,13,13,13,13,13,13
"213543","41181000","159164000","19749000","0","19749000","0","0","0","0","6448000","6448000","138728000","46633000","185361000","67640000","18210000","0","0","85850000","4556000","491000","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"3652000","44833000","31815000","3513000","22508000","26021000","14076000","413000","894000","1307000","591000","11554000","2969000","14523000","5321000","8425000","362000","8787000","4309000","14062000","94000","14156000","10441000","10286000","26000","10312000","1087000","17020000","8481000","25501000","52000","33000","85000","12473000","1166000","13639000","118979000","40185000",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,10,10,10,10,10,10,10,10,13,13,10,10,10,13,13,13,13,13
"213570","1279575","3783057","0","0","0","0","0","0","0","0","0","3783057","0","3783057","1705798","265273","0","0","1971071","100352","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,"0","1279575","883413","0","0","0","0","0","0","0","0","599526","0","599526","349658","542444","0","542444","472727","341201","0","341201","0","1020311","0","1020311","0","","","","0","0","0","0","0","0","3783057","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"213589","633395","3149101","237586","","237586","","","","","","","2759405","627282","3386687","1051899","","","","1051899","100352","","","","","","",,,,,,,,,,,,,,,,,,,,,,,"","633395","470566","","","","","","","","","1832115","","1832115","581333","","","","","","","","","","","","","56309","627282","683591","","","","","","","2521819","627282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"212984","4040080","14451110","169","0","169","0","0","0","0","0","0","12665049","1786230","14451279","6325339","1170610","0","0","7495949","376921","0","0","0","0","0","0",10,10,10,10,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,"15716","4055796","3737047","0","0","0","0","0","0","0","0","376921","0","376921","243123","786738","0","786738","598141","3741143","162661","3903804","1549887","1218307","0","1218307","197141","707664","1607853","2315517","362839","0","362839","1431188","0","1431188","12664880","1786230",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,13,13,13,13,13,13
"212993","136418","599157","0","0","0","","","","","","","511648","87509","599157","182859","57516","0","0","240375","6828","","","","","","",,,,,,,,,,,,,,,,,,,,,,,"0","136418","135396","0","0","0","0","2500","0","2500","0","20083","0","20083","0","15297","0","15297","0","47463","0","47463","47463","186740","0","186740","0","103147","87509","190656","0","0","0","0","0","0","511648","87509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"213011","3396424","11926867","3014185","13342","3027527","0","0","0","0","0","0","13762648","1191746","14954394","4896702","1640951","0","0","6537653","439501","60553","1599651","0","0","0","0",10,10,10,10,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,"321959","3718383","2609696","0","0","0","0","0","0","0","0","439501","24924","464425","224938","1378808","41829","1420637","686570","1535864","10111","1545975","662886","1235065","836","1235901","712612","1102597","778745","1881342","60553","0","60553","1599651","0","1599651","10748463","1178404",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,10,10,13,13,13,13
