unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"193821","19813000","0","19813000","","","","127000","83000","210000","","","","0","100000","100000","0","83000","83000","","","","85000","111000","196000","423000","295000","718000","","","","590000","0","590000","","","","130000","0","130000","","","","21168000","672000","21840000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"193830","20146000","0","20146000","","","","304000","0","304000","","","","4399000","10841000","15240000","26000","401000","427000","3254000","80106000","83360000","1278000","3858000","5136000","754000","0","754000","","","","2827000","0","2827000","","","","7413000","48701000","56114000","","","","40401000","143907000","184308000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"193894","1235000","0","1235000","","","","","","","","","","","","","","","","","","","220000","616000","836000","137000","126000","263000","","","","124000","0","124000","","","","7000","0","7000","","","","1723000","742000","2465000","",10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"193900","476591000","0","476591000","","","","4566000","0","4566000","","","","31395000","84622000","116017000","164000","19466000","19630000","2558000","58654000","61212000","15201000","51052000","66253000","16839000","15185000","32024000","23212000","0","23212000","98805000","0","98805000","351094000","32784000","383878000","25143000","31919000","57062000","","","","1045568000","293682000","1339250000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31
"193946","7163697","","7163697","0","0","0","7320901","","7320901","4425548","","4425548","","3665850","3665850","","3847811","3847811","","350358","350358","","486910","486910","0","0","0","0","0","0","2312521","","2312521","0","0","0","2744507","","2744507","0","0","0","23967174","8350929","32318103","",10,31,10,31,31,10,10,31,10,10,31,10,31,10,10,31,10,10,31,10,10,31,10,10,31,31,10,31,31,10,10,31,10,31,31,10,10,31,10,31,31,10,10,10,10,31
"193973","23892000","0","23892000","","","","337000","0","337000","","","","93000","2448000","2541000","0","390000","390000","","","","768000","268000","1036000","254000","213000","467000","147000","0","147000","5490000","0","5490000","","","","532000","190000","722000","","","","31513000","3509000","35022000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"194028","2814797","","2814797","0","0","0","2131921","","2131921","1475630","","1475630","","1718807","1718807","","1252659","1252659","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","989936","","989936","0","0","0","7412284","2971466","10383750","",10,31,10,31,31,10,10,31,10,10,31,10,31,10,10,31,10,10,31,31,10,31,31,10,31,31,10,31,31,10,31,31,10,31,31,10,10,31,10,31,31,10,10,10,10,31
"194073","7781000","0","7781000","","","","154000","0","154000","","","","0","99000","99000","0","154000","154000","","","","1000","257000","258000","","","","83000","0","83000","","","","4300000","0","4300000","1797000","37000","1834000","","","","14116000","547000","14663000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31
"194091","76828000","0","76828000","","","","1087000","0","1087000","","","","0","4432000","4432000","0","6957000","6957000","","","","136000","327000","463000","","","","","","","2351000","0","2351000","","","","2630000","34000","2664000","","","","83032000","11750000","94782000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"194116","2733738","0","2733738","0","0","0","0","0","0","0","0","0","0","1041","1041","0","33174","33174","0","0","0","0","9000","9000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2733738","43215","2776953","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"194152","5572679","","5572679","0","0","0","6461024","","6461024","0","0","0","0","0","0","","534600","534600","0","0","0","0","0","0","0","0","0","164770","","164770","82374","","82374","0","0","0","715016","","715016","0","0","0","12995863","534600","13530463","",10,31,10,31,31,10,10,31,10,31,31,10,31,31,10,31,10,10,31,31,10,31,31,10,31,31,10,10,31,10,10,31,10,31,31,10,10,31,10,31,31,10,10,10,10,31
"194161","7058000","0","7058000","","","","","","","","","","0","728000","728000","0","1004000","1004000","","","","1303000","283000","1586000","16000","99000","115000","16000","0","16000","2635000","0","2635000","","","","133000","0","133000","","","","11161000","2114000","13275000","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"194189","102950","","102950","","","","","","","","","","0","54950","54950","","","","","","","98160","","98160","","","","","","","","","","","","","8415","","8415","","","","209525","54950","264475","",10,31,10,31,31,31,31,31,31,31,31,31,11,16,10,31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,11,16,10,31
"194204","844000","0","844000","","","","","","","","","","","","","0","364000","364000","27000","0","27000","","","","","","","","","","82000","0","82000","","","","34000","0","34000","","","","987000","364000","1351000","",10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"194222","12392605","","12392605","0","0","0","10908630","","10908630","8492171","","8492171","","5040132","5040132","","3689743","3689743","","99621","99621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1749035","","1749035","0","0","0","33542441","8829496","42371937","",10,31,10,31,31,10,10,31,10,10,31,10,31,10,10,31,10,10,31,10,10,31,31,10,31,31,10,31,31,10,31,31,10,31,31,10,10,31,10,31,31,10,10,10,10,31
