unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"170620","2863208","0","2863208","0","0","0","28652","173433","202085","0","0","0","0","1420165","1420165","3563100","914360","4477460","82685","120307","202992","0","0","0","0","0","0","0","0","0","1244229","0","1244229","0","0","0","606942","32223","639165","0","0","0","8388816","2660488","11049304","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10
"170639","9611737","0","9611737","0","0","0","10638151","0","10638151","0","0","0","21251","1956657","1977908","0","231302","231302","0","0","0","86928","303075","390003","0","197628","197628","49562","0","49562","7731300","0","7731300","0","0","0","985998","370307","1356305","0","0","0","29124927","3058969","32183896","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170657","16934329","0","16934329","0","0","0","23887000","0","23887000","15529482","0","15529482","11000","10694037","10705037","103817","1391566","1495383","287943","14573","302516","105482","272954","378436","0","0","0","777265","30066","807331","1342620","0","1342620","0","0","0","1690709","86012","1776721","0","0","0","60669647","12489208","73158855","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170675","17647971","0","17647971","0","0","0","272599","0","272599","0","0","0","0","1273597","1273597","0","1478370","1478370","0","4503","4503","304763","522196","826959","15609","404391","420000","0","0","0","2349998","0","2349998","0","0","0","393191","10967","404158","0","0","0","20984131","3694024","24678155","A","",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"170693","62680","981352","1044032","0","0","0","0","0","0","0","0","0","0","850482","850482","0","415307","415307","0","0","0","5689","21000","26689","0","0","0","0","0","0","33725","0","33725","0","0","0","53821","0","53821","0","0","0","155915","2268141","2424056","A","0",10,10,10,31,31,31,31,31,31,31,31,31,31,11,11,31,11,11,31,31,31,10,10,10,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"170790","24735560","0","24735560","0","0","0","25828700","0","25828700","17819903","0","17819903","18442","4097247","4115689","0","3354198","3354198","0","0","0","755","59834","60589","264842","21152","285994","80502","0","80502","5831345","0","5831345","0","0","0","1575488","0","1575488","0","0","0","76155537","7532431","83687968","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,31,10,10,10,10,11,11,10,10
"170806","14238584","0","14238584","0","0","0","0","0","0","0","0","0","51170","1657896","1709066","479439","1858341","2337780","0","0","0","684065","145752","829817","588553","39165","627718","141954","133548","275502","1637897","0","1637897","0","0","0","214141","0","214141","0","0","0","18035803","3834702","21870505","A","0",10,10,10,10,10,10,31,10,31,10,10,10,10,10,10,11,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170842","7342953","0","7342953","0","0","0","75000","0","75000","0","210467","210467","0","2014618","2014618","0","1434188","1434188","0","300410","300410","395571","0","395571","0","30977","30977","0","0","0","386115","0","386115","0","0","0","31759","0","31759","190380","0","190380","8421778","3990660","12412438","A","0",10,10,10,10,10,10,16,10,16,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31
"170967","1604335","0","1604335","0","0","0","0","0","0","0","0","0","55882","319046","374928","10088","0","10088","0","0","0","585903","9963","595866","0","10729","10729","46521","0","46521","1221469","0","1221469","0","0","0","47858","0","47858","0","0","0","3572056","339738","3911794","A","0",10,31,10,31,31,31,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,10,10,10,31,10,10,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"170976","351251873","0","351251873","522414","0","522414","258599409","2962807","261562216","0","0","0","73858240","237395050","311253290","85661","6103638","6189299","65472","1220451","1285923","10279148","81627024","91906172","1432441","14974479","16406920","61460985","5543163","67004148","346060465","0","346060465","679762969","0","679762969","22543562","3869164","26412726","0","0","0","1805922639","353695776","2159618415","A","0",10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10
