unitid,part,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,filler,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"147703","A","56941632","0","56941632","0","0","0","93096600","0","93096600","0","0","0","1702040","13496753","15198793","296516","3476523","3773039","0","0","0","394210","4382006","4776216","0","0","0","13637250","0","13637250","48405668","26666","48432334","0","0","0","1319462","0","1319462","0","0","0","215793378","21381948","237175326","0","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147767","A","289631000","0","289631000","0","0","0","0","0","0","0","0","0","23137000","83583000","106720000","2891000","3084000","5975000","0","0","0","19604000","41763000","61367000","20859000","11368000","32227000","58425000","0","58425000","44593000","0","44593000","0","0","0","126691000","2426000","129117000","0","0","0","585831000","142224000","728055000","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147776","A","16761410","0","16761410","0","0","0","33550918","0","33550918","0","0","0","0","7739603","7739603","0","434109","434109","0","140462","140462","127827","799398","927225","0","0","0","1847213","0","1847213","2416095","0","2416095","0","0","0","1032096","88844","1120940","0","0","0","55735559","9202416","64937975","0","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147800","A","7714217","0","7714217","0","0","0","4932551","0","4932551","22194277","4161677","26355954","0","2282868","2282868","0","2150745","2150745","0","0","0","0","26633","26633","0","0","0","103758","0","103758","8190275","0","8190275","0","0","0","1463087","3061431","4524518","0","0","0","44598165","11683354","56281519","0","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147828","A","15088601","0","15088601","0","0","0","0","0","0","0","0","0","0","1003228","1003228","369850","1409947","1779797","0","0","0","3016072","230082","3246154","0","0","0","0","0","0","6704201","0","6704201","0","0","0","781915","62816","844731","0","0","0","25960639","2706073","28666712","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147916","A","9420481","0","9420481","0","0","0","7305180","0","7305180","7800660","2785423","10586083","0","4370518","4370518","0","1739862","1739862","0","0","0","0","0","0","0","0","0","0","0","0","2608792","0","2608792","0","0","0","1454614","186132","1640746","0","0","0","28589727","9081935","37671662","0","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147925","A","8059626","0","8059626","0","0","0","0","0","0","0","0","0","0","889647","889647","56468","60947","117415","0","0","0","183636","6016","189652","104402","0","104402","101409","0","101409","1319762","0","1319762","0","0","0","45993","0","45993","0","0","0","9871296","956610","10827906","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"148007","A","4515767","0","4515767","0","0","0","2679954","0","2679954","5410483","0","5410483","0","2082356","2082356","0","653292","653292","0","0","0","0","0","0","0","0","0","0","0","0","611082","0","611082","0","0","0","470328","113413","583741","0","0","0","13687614","2849061","16536675","0","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"148016","A","6994428","0","6994428","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2250079","0","2250079","1696687","0","1696687","0","0","0","4497562","0","4497562","0","0","0","456224","0","456224","0","0","0","15894980","0","15894980","0","",10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"148131","A","10861684","0","10861684","0","0","0","0","0","0","0","0","0","0","830778","830778","200240","53420","253660","0","0","0","449468","152922","602390","196080","240271","436351","148402","0","148402","3211213","0","3211213","0","0","0","257338","0","257338","0","0","0","15324425","1277391","16601816","0","",10,10,10,31,31,31,31,10,31,31,31,31,10,10,10,11,10,11,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"148177","A","2293840","0","2293840","0","0","0","0","0","0","0","0","0","0","178110","178110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2293840","178110","2471950","0","",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"148256","A","1853021","0","1853021","0","0","0","4245374","0","4245374","981168","332287","1313455","13031","3012087","3025118","103578","2327434","2431012","0","0","0","0","0","0","0","0","0","0","0","0","933104","0","933104","0","0","0","351652","447181","798833","0","0","0","8480928","6118989","14599917","0","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"148292","A","2581776","0","2581776","0","0","0","2068712","0","2068712","3501623","1058372","4559995","0","1014934","1014934","0","1988561","1988561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","717859","171267","889126","0","0","0","8869970","4233134","13103104","0","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,11,10,11,31,10,31,10,10,18,31
"148335","A","28105176","0","28105176","0","0","0","0","0","0","0","0","0","0","4819014","4819014","0","7524849","7524849","0","0","0","0","87760","87760","0","0","0","0","0","0","1152081","0","1152081","0","0","0","772038","0","772038","0","0","0","30029295","12431623","42460918","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"148380","A","5405477","33879","5439356","0","0","0","4556016","0","4556016","10276498","2797155","13073653","0","3302179","3302179","0","2691987","2691987","0","0","0","0","149555","149555","0","0","0","0","15802","15802","586247","0","586247","0","0","0","403032","397871","800903","0","0","0","21227270","9388428","30615698","0","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"148405","A","14849187","233550","15082737","0","0","0","0","0","0","0","0","0","0","739053","739053","0","1958058","1958058","0","0","0","737458","561092","1298550","0","532360","532360","0","0","0","2578551","0","2578551","0","0","0","330067","0","330067","0","0","0","18495263","4024113","22519376","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"148487","A","35278564","0","35278564","0","0","0","0","0","0","0","0","0","64131","3251709","3315840","718133","745959","1464092","0","0","0","1339164","2060885","3400049","277828","131136","408964","0","0","0","1810783","0","1810783","0","0","0","587507","22668","610175","0","0","0","40076110","6212357","46288467","0","",10,10,10,31,31,31,31,10,31,31,31,31,10,10,10,11,10,11,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
