unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b235,b245,b255,b265,b275,bline05,bline14,bline15,bline17,bline20,bline21,bline18,part
"199494","4805553","412031","5217584","4018541","","","","","32031","0","32031","25800","1064195","16703","1080898","758470","552382","2224","554606","1960","1403419","0","1403419","845429","805895","3240","809135","330529","12299","343831","356130","","","","","","","8675774","778029","9453803","709773","0","709773","","","","","","","9385547","778029","10163576","5980729","1124574","","","7105303","281905","","15152","","","","","B"
"199546","0","362220","362220","281807","4139","0","4139","3733","557","0","557","324","77747","5852","83599","48822","194391","6219","200610","99904","359045","14960","374005","146236","234949","15530","250479","35818","5007","85549","90556","12769","1610","14379","445","0","445","889049","491940","1380989","45789","0","45789","0","0","0","298","0","298","935136","491940","1427076","616644","85092","127","1750","703613","14199","","","","","","","B"
"199582","4285041","1808245","6093286","3983157","","","","","","","","","2283267","0","2283267","1721140","1394631","0","1394631","1004819","2808108","0","2808108","248619","1934851","0","1934851","1079711","1483550","4285330","5768880","","","","109257","165931","275188","14298705","6259506","20558211","4043637","0","4043637","0","0","0","0","0","0","18342342","6259506","24601848","8037446","1197166","","","9234612","365310","422553","","","","","","B"
"199591","1203124","21258","1224382","888664","","","","","","","","","234960","735","235695","161260","764027","1215","765242","463647","878641","4055","882696","442153","420948","9529","430477","309454","281543","292600","574143","42208","0","42208","102985","11271","114256","3928436","340663","4269099","856194","885","857079","","","","","","","4784630","341548","5126178","2265178","388011","","","2653189","161463","","","","","","","B"
"199607","2519577","306316","2825893","2026561","","","","","","","","","534964","93178","628142","262262","1056109","92175","1148284","574701","1351885","40506","1392391","940712","801324","52470","853794","517800","432916","660268","1093184","0","0","0","117212","1660","118872","6813987","1246573","8060560","1424293","17600","1441893","","","","","","","8238280","1264173","9502453","4322036","916101","","","5238137","395965","","","","","","","B"
"199625","2793196","180495","2973691","2171417","","","","","","","","","167430","0","167430","98917","337777","169502","507279","314336","673416","29684","703100","433369","449192","","449192","133197","0","329200","329200","","","","8941","-6941","2000","4429952","701940","5131892","224674","0","224674","","","","","","","4654626","701940","5356566","3151236","709389","","","3860625","167430","","","","","","","B"
"199634","6468953","250248","6719201","4980037","","","","","","","","","362314","1774","364088","208622","618361","0","618361","478232","1339404","117654","1457058","811442","1085745","0","1085745","453474","0","569621","569621","","","","","","","9874777","939297","10814074","512170","0","512170","","","","","","","10386947","939297","11326244","6931807","1513370","","","8445177","318545","","6787","","","","","B"
"199643","3109974","408845","3518819","2855086","","","","","85079","125697","210776","80545","248325","133995","382320","125617","1533009","81193","1614202","602776","4134160","74414","4208574","1582304","1618071","0","1618071","560049","821738","5558632","6380370","","","","574738","0","574738","12125094","6382776","18507870","1278304","0","1278304","","","","","","","13403398","6382776","19786174","5806377","870956","","","6677333","193994","","","","","","","B"
"199698","2552075","180466","2732541","1934466","","","","","","","","","403264","129837","533101","245965","1217189","58594","1275783","528088","1871926","28794","1900720","703070","1468025","4414","1472439","331283","1239820","1505842","2745662","","","","40826","-15959","24867","8793125","1891988","10685113","1580156","18283","1598439","","","","","","","10373281","1910271","12283552","3742872","721970","0","0","4464842","250411","30730","","","","","","B"
"199722","3560113","149886","3709999","2424713","","","","","","","","","221724","433724","655448","440674","586342","11855","598197","396780","1023868","0","1023868","751847","710680","0","710680","252112","0","689491","689491","0","13535","13535","","","","6102727","1298491","7401218","420754","0","420754","","","","","","","6523481","1298491","7821972","4266126","534709","","","4800835","221724","4769","","","","","","B"
"199731","2282221","172889","2455110","1830876","","","","","","","","","761139","0","761139","540217","354657","119130","473787","287829","872692","12079","884771","523850","677495","0","677495","275010","0","399407","399407","","","","","","","4948204","703505","5651709","3852","0","3852","","","","","","","4952056","703505","5655561","3457782","739187","","","4196969","194133","","","","","","","B"
"199740","2871512","0","2871512","2350463","","","","","","","","","707754","170499","878253","539260","435427","0","435427","279683","799641","41089","840730","474487","532747","0","532747","172228","0","223247","223247","63542","0","63542","16977","0","16977","5427600","434835","5862435","285769","0","285769","","","","","","","5713369","434835","6148204","3816121","681780","","","4497901","175009","","16977","","","","","B"
"199759","1926077","0","1926077","1404527","","","","","","","","","788279","0","788279","488500","180737","0","180737","63548","1258119","0","1258119","670222","611092","0","611092","187963","132917","511309","644226","","","","-400000","63393","-336607","4497221","574702","5071923","991915","0","991915","","","","","","","5489136","574702","6063838","2814760","900723","","0","3715483","412301","","","","","","","B"
"199768","4542934","29542","4572476","3418671","","","","","0","11920","11920","11920","969189","0","969189","638245","414502","981","415483","302884","947760","75887","1023647","528330","498313","0","498313","174098","192255","575805","768060","","","","","","","7564953","694135","8259088","834366","0","834366","","","","","","","8399319","694135","9093454","5074148","1125065","","","6199213","248739","","","","","","","B"
"199786","6788815","421368","7210183","4953656","","","","","23225","0","23225","13598","145324","58702","204026","103813","510738","0","510738","387232","1446873","17284","1464157","889036","855191","0","855191","367643","44813","292949","337762","","","","19813","0","19813","9834792","790303","10625095","353384","0","353384","","","","","","","10188176","790303","10978479","6714978","1326809","","","8041787","145233","","","","","","","B"
